order_id,order_name,pos_location_name,returns_kes,order_created_in_window
6120469627035,#599187,Vivo Galleria,3500.0,True
6084645781659,#593352,Vivo Garden City,3500.0,True
6082954723483,#593112,Vivo Nakuru,3500.0,True
6087333740699,#593622,Vivo Runda,3500.0,True
6091146657947,#594192,Vivo Mama Ngina St,3350.0,True
6108012249243,#597213,Vivo Garden City,3250.0,True
6081077444763,#592672,Vivo Two Rivers,3250.0,True
6082956230811,#593113,Vivo Two Rivers,3200.0,True
5859696410779,#552519,Vivo Village Market,2950.0,False
6093413744795,#594771,Vivo Runda,2950.0,True
6070657548443,#590813,Vivo Imaara,2900.0,True
6070150201499,#590625,Vivo City Mall,2900.0,True
6080998015131,#592593,Vivo Village Market,2900.0,True
6093095403675,#594600,Vivo TRM,2900.0,True
6058359029915,#588777,Vivo Mama Ngina St,2900.0,True
6068530315419,#590366,Vivo Garden City,2900.0,True
6098134761627,#595303,Vivo Village Market,2900.0,True
6129393008795,#600277,Vivo Runda,2550.0,True
5849451266203,#550543,Vivo Moi Avenue,2500.0,False
6091402412187,#594356,Vivo Moi Avenue,2500.0,True
6094405632155,#594779,Vivo Village Market,2500.0,True
6091381440667,#594341,Vivo Junction,2500.0,True
6093084426395,#594591,Vivo Hub,2500.0,True
6068672463003,#590485,Vivo Mama Ngina St,2500.0,True
6079119491227,#592038,Vivo Junction,2500.0,True
6057004368027,#588638,Vivo Hub,2500.0,True
6091138367643,#594185,Vivo Mama Ngina St,2500.0,True
6086294896795,#593608,Vivo Garden City,2250.0,True
6066753962139,#590008,Vivo Sarit,1900.0,True
6074129481883,#591240,Vivo Kisumu,1750.0,True
6087762149531,#593797,Vivo Galleria,1500.0,True
6087677903003,#593757,Vivo Garden City,1500.0,True
6081551597723,#592910,Vivo Garden City,450.0,True
6075961933979,#591544,Vivo Garden City,250.0,True
5911996235931,#563132,Vivo Mama Ngina St,240.0,False
5936836247707,#568746,Staff purchases,150.0,False
6086268059803,#593595,Vivo Garden City,100.0,True
5958796214427,#571956,Vivo Garden City,100.0,False
