Florence,Mary,Florence,Mary,Mary,Mary,Mary,Florence,Florence,Florence,Mary,,Mary,Florence,Florence,,Marion,Chantal,Marion,,,,,,Mary,Amos,,,Mary,Mary,Florence,,Mary,Mary,,Mary,Mary
Style No.,Image,Style Name,Type,Status,Category,Sub Category,Adoption Date,Florence,EDD - Sample,Target Order Week,Target Launch Week,Actual Order Date,Sample Approval Date,Sample Approval Week,CAD Transfer Date,Tech Pack/Requisition Date,Set Sample Mini Marker,Set Sample Order Date,Set Sample Receipt Date,Set Sample Approval Date,Set Sample Approval Week,Date Transferred to Buying,Actual Order Week,Planned Launch Week,Actual Launch Date,Theme,Collection Name,Fabric Type,P / S,Brand,,Fabric Name,Sample Colour,,S/S Approval,Exp Order Date
S0626053,,Safari By Vivo Ruffle Sleeve Top in Cotton,NEW,PATTERN,Tops,Loose & Oversized Tops,22-Jun- 2026,Mercy,,WK 41,WK 44,,,,,,,,,,,,,,,,SBV,Light Cotton,Solid,Safari by Vivo,,YIYI N272,YIYI 7294 - purple,,,
V0626082,,Safari by Vivo Short Sleeved Top in Cotton,NEW,TRANSFER TO CAD,Tops,Loose & Oversized Tops,26-Jun-2026,Florence,,WK 37,WK 40,,27-Aug-2026,WK 35,,,1-Sep-2026,1-Sep-2026,,,,,,,,,Vivo,Light Cotton Poplin,Solid,Vivo  ,,YIYI N272,Brown,,,
S0826014,,Safari by Vivo Sleeveless Front Zip Jumpsuit in Cotton (Etsy Front Zip Jumpsuit),NEW,SAMPLE REVIEW,Bottoms,Jumpsuits & Playsuits ,5-Aug-2026,CAD,,WK 38,WK 41,,,,,,,,,,,,,,,,,Medium Cotton Twill,,Safari by Vivo,,SHUNYUAN 1728 Medium Cotton Twill,,,,
S0826015,,Safari by Vivo Sleeveless Panelled Dress in Cotton,NEW,PATTERN,Dresses,Maxi Dresses,5-Aug-2026,Victoria,,WK 40,WK 43,,,,,,,,,,,,,,,,SBV,Light Cotton Lining,,Safari by Vivo,,YIYI N272,YIYI 7294 - white for sampling,,,
S0826013,,Safari by Vivo Utility Jumpsuit in Cotton (ETSY Boiler Suit Jumpsuit),NEW,SAMPLE REVIEW,Bottoms,Jumpsuits & Playsuits ,5-Aug-2026,CAD,,WK 40,WK 43,,,,,,,,,,,,,,,,,Medium Cotton Twill,,Safari by Vivo,,YIYI Y760 Medium Cotton Twill,,,,
S0826040,,Safari by Vvo Maxi Skirt in Linen (ETSY),NEW,PATTERN,Skirts,Maxi Skirts,25-Aug-2026,Mercy,,WK 41,WK 44,,,,,,,,,,,,,,,,,,Solid,Safari by Vivo,,Sample in Tanzania Kitenge,,,,
V0326005,,Vivo 3/4 Sleeve Short Blazer in Kitenge,RR,SAMPLE REVIEW,Outerwear,Jackets & Coats,25-Mar-2026,Florence,WK 15,,,,,,,,,,,,,,,,,,,Kitenge,Print,Vivo  ,,Kitenge,,,,
V0626072,,Vivo Asymetrical Sleeveless Coat in Twill,NEW,PATTERN,Outerwear,Jackets & Coats,24-Jun-2026,Wanjohi,,WK 39,WK 42,,,,,,,,,,,,,,,,Vivo,Medium Polyester Twill,Print,Vivo,,YIWAN 8075 Medium Polyester Twill,Eastleigh Kitenge,,,
V0826010,,Vivo Back Pleat Coat Dress in Cotton Denim Twill,NEW,APPROVED FOR S/S,Dresses,Knee Length Dresses,7-Jul-2026,CAD,,WK 37,WK 40,,20-Aug-2026,WK 34,,,,,,,,,,,,,,Medium Cotton Denim,Solid,Vivo  ,,SHUNYUAN H407 Medium Cotton Denim,,,,
V0626051,,Vivo Barrel Pants in Scuba,NEW,PATTERN,Bottoms,Full Length Pants,22-Jun- 2026,Florence,,WK 40,WK 43,,,,,,,,,,,,,,,,Vivo,Medium Scuba,Solid,Vivo,,PU SHY 8086,Navy,,,
