kind,template_id,product_name,proposed_number,proposed_name_or_alts
recoverable,342675,Safari by Vivo Zehra Kitenge Short Kimono  - FS,S1125044,Safari by Vivo Zehra Kitenge Short Kimono
recoverable,342676,Safari by Vivo Zehra Kitenge Shorts  - FS,S1125033,Safari by Vivo Zehra Kitenge Shorts
recoverable,342969,Safari by Vivo Zehra Sleeveless Boxy Top  - FS,S1125008,Safari by Vivo Zehra Sleeveless Boxy Top
recoverable,342689,Safari by Vivo Zehra Tie Waist Kimono Dress  - FS,S0825051,Safari by Vivo Zehra Tie Waist Kimono Dress
recoverable,108583,Vivo 3/4 Sleeve J.O Jersey A-line Knee Length Dress - Hunters Green,V0321038,Vivo 3/4 Sleeve J.O Jersey A-line Knee Length Dress
recoverable,342321,Vivo Adisa V-Neck Jumpsuit Kaftan  - FS,V1122096,Vivo Adisa V-Neck Jumpsuit Kaftan
recoverable,108737,Vivo Ajani Blouse - Olive,V1123062,Vivo Ajani Blouse
recoverable,342316,Vivo Ajani Long Sleeve Top  - FS,V1123079,Vivo Ajani Long Sleeve Top
recoverable,108768,Vivo Ajani V-Neck Shift Dress - Beige,V1223022,Vivo Ajani V-Neck Shift Dress
recoverable,108839,Vivo Alek 3/4 Sleeve A-Line Maxi Kimono - Blue / White print,V0921140,Vivo Alek 3/4 Sleeve A-Line Kimono
recoverable,108840,Vivo Alek 3/4 Sleeve A-Line Maxi Kimono - Brown / White print,V0921140,Vivo Alek 3/4 Sleeve A-Line Kimono
recoverable,108843,Vivo Alek 3/4 Sleeve A-Line Maxi Kimono - Peach / White print,V0921140,Vivo Alek 3/4 Sleeve A-Line Kimono
recoverable,342970,Vivo Alek Shirred Off Shoulder Jumpsuit in Crepe  - FS,V0921142,Vivo Alek Shirred Off- Shoulder Jumpsuit
recoverable,108948,Vivo Alek Shirred Off- Shoulder Jumpsuit - Brown / White Print,V0921142,
recoverable,108953,Vivo Alek Shirred Off- Shoulder Jumpsuit - Hunters / White Print,V0921142,
recoverable,108965,Vivo Alek Shirred Off- Shoulder Jumpsuit - Taupe / Black Haro Print,V0921142,
recoverable,108966,Vivo Alek Shirred Off- Shoulder Jumpsuit - Taupe Jazah Print,V0921142,
recoverable,342402,Vivo Alek Shirred Off- Shoulder Jumpsuit In Crepe  - FS,V0921142,Vivo Alek Shirred Off- Shoulder Jumpsuit
recoverable,342449,Vivo Aleri Front Slit Sheath Dress In Ponte  - FS,V0725042,Vivo Aleri Front Slit Sheath Dress
recoverable,315697,Vivo Alma Mini Skirt - Dark Grey OLD,V0725046,Vivo Alma Mini Skirt
recoverable,109075,Vivo Alora 3/4 Sleeve Shift Dress - Tan,V0624008,Vivo Alora 3/4 Sleeve Shift Dress
recoverable,109080,Vivo Alora Long Sleeve Top - Black,V0624061,Vivo Alora Long Sleeve Top
recoverable,109082,Vivo Alora Long Sleeve Top - Cream,V0624061,Vivo Alora Long Sleeve Top
recoverable,109086,Vivo Alora Pleated Pants - Taupe,V0624080,Vivo Alora Pleated Pants
recoverable,109087,Vivo Alora Round Neck Top - Chocolate,V0624006,Vivo Alora Round Neck Top
recoverable,342497,Vivo Alora Shift Dress  - FS,V0624064,Vivo Alora Shift Dress
recoverable,109093,Vivo Alora Shift Dress - Rose,V0624064,Vivo Alora Shift Dress
recoverable,109103,Vivo Amai Hi-Low Top - Buttermilk Wingu Print,V0724026,Vivo Amai Hi-Low Top
recoverable,109104,Vivo Amai Hi-Low Top - Cream Wingu Print,V0724026,Vivo Amai Hi-Low Top
recoverable,109108,Vivo Amai Hi-Low Top - Navy / Blue Izza Print,V0724026,Vivo Amai Hi-Low Top
recoverable,109109,Vivo Amai Hi-Low Top - Navy Wingu Print,V0724026,Vivo Amai Hi-Low Top
recoverable,109110,Vivo Amai Hi-Low Top - Rust,V0724026,Vivo Amai Hi-Low Top
recoverable,109112,Vivo Amai Hi-Low Top - Taupe Wingu Print,V0724026,Vivo Amai Hi-Low Top
recoverable,342592,Vivo Amai Maxi Kaftan  - FS,V0324039,
recoverable,342593,Vivo Amai Maxi Kaftan  - FS,V0324039,
recoverable,342604,Vivo Amai Maxi Kaftan In Textured Satin  - FS,V0226024,Vivo Amai Maxi Kaftan In Textured Satin
