Style Name,Style Number,Status,Tier
Backless Strappy Satin Dress With High Side Slit,,Active,
Backless Strappy Satin Dress With High Side Slit,,Active,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,Active,
Black Leopard Print Cut-out One Shoulder Bodycon Dress,,Retired,Retired
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,,
,,,
,,Active,
,,,
,,,
,,Active,
,,,
,,Active,
,,,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
Classic Flared Miniskirt,,Retired,Retired
,,,
,,,
Cowl Lined Midi Halter Dress,,Retired,Retired
,,,
,,,
Cowl Lined Midi Halter Dress,,Retired,Retired
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
