product_name,barcode,sku,price,retired_qty
Zoya Sadira Mini Bubble Dress - Hunters,60051442,Z0125025HUNXS,2250,3
Zoya Sadira Mini Cargo Skirt - Hunters,60051397,Z0125026HUNTM,1950,3
Zoya Sadira Ribbed Top - Light Grey,60051291,Z0125019LIGL,2250,3
Zoya Taani Maxi Dress - Navy,60033485,Z0324012NAVL,1100,3
Zoya Taani Maxi Dress - Navy,60033484,Z0324012NAVM,1100,3
Zoya Taani Maxi Dress - Navy,60033483,Z0324012NAVS,1100,3
Zoya Temo Asymmetric Front Cut Crop Top - Navy,60044937,Z0824059NAVL,250,3
Zoya Yuni Contrast Stitch Mini Skirt - Black,60035053,Z0324071BLAS,350,3
Zoya Yuni Off Shoulder Midriff Top - Buttermilk,60037561,Z0324051BUTL,350,3
Zoya Yuni Off Shoulder Midriff Top - Orange,60037581,Z0324051ORA4X,650,3
Zoya Yuni Sleeveless Turtle Neck Maxi Top - Black,60037848,Z0324067BLAXS,2250,3
Safari 3/4 Sleeve Maxi Kimono With Headwrap - Mustard / Cream Print,60055848,S0625014PR1S/M,6400,2
Safari Basic Shirt Tent Dress - Taupe,60019749,S0623047TAUL,5250,2
Safari Bush Cropped Short Sleeve Shacket - Gold,60038484,S0424073GOL1X/2X,2500,2
Safari Bush Men's Long Sleeve T-shirt - Hunters Green,60045317,S0724020HGN3X,1600,2
Safari By Vivo Mens Cotton Long Sleeve Shirt - White / Navy Print,60060672,S0925062PR11X,5400,2
Safari By Vivo Mens Cotton Short Sleeve Shirt - White / Black Print,60060530,S0925060PR1S,4400,2
Safari By Vivo Mens Cotton Shorts - Dark Grey,60060999,S0925059DGRYS,3400,2
Safari By Vivo Mens Cotton Shorts - Khaki Tan,60061005,S0925059KTANL,3400,2
Safari By Vivo Mens Cotton Shorts - Khaki Tan,60061004,S0925059KTANM,3400,2
Safari Chui Cropped Jacket - White Cloud,60047040,S1024007WCLOM,6250,2
Safari Chui Heavy Shirt - Red,60048226,S1024013REDXS,5950,2
Safari Chui Heavy Shirt - White,60047056,S1024013WHIL,5950,2
Safari Chui Lined Jacket - White Cloud,60047580,S1024005WHICM,8950,2
Safari Hawi Cargo Pants - Gold,60032701,S0623035GOLL,3650,2
Safari Hawi Cargo Pants - Light Navy,60046369,S0623035LINAL,5250,2
Safari Hawi Cargo Pants - Light Navy,60046368,S0623035LINAM,5250,2
Safari Haya Drop Shoulder Side Tie Top - Red Koi Print,60031235,S0124007PRT1M,1400,2
Safari Huru Halter Sleeveless High Low Dress - Black,60047113,S0424075BLAS,4050,2
Safari Kamari Capri Cargo Pants - White,60035283,S0224195WHI1X,4750,2
Safari Kamari Capri Cargo Pants - White,60035282,S0224195WHIL,4750,2
