Style Number,Style Name,Brand,Category,Subcategory,Status,Highest Sold Price (KES),Current Price (KES),Warehouse,Retired Location,Stores,Online,Total SOH
S0925046,Safari Tafari Shorts,Safari,Bottoms,Shorts & Skorts,Retired,2800.0,2800.0,3.0,14.0,20.0,34,71
V0625059,Vivo Aleri Trench Coat Dress,Vivo,Dresses,Knee Length Dresses,Retired,5900.0,5900.0,6.0,20.0,18.0,18,62
V0625044,Vivo Iyana Tank Top,Vivo,Tops,Midriff & Crop Tops,Retired,1900.0,1900.0,6.0,28.0,12.0,14,60
V1125001,Vivo Jersey Drop Shoulder Top,Vivo,Tops,T-shirts & Tank Tops,Retired,2500.0,2500.0,6.0,5.0,41.0,7,59
V0125047,Vivo Seli Strappy Tent Top,Vivo,Tops,Loose Tops,Retired,2250.0,750.0,6.0,21.0,20.0,11,58
V0823158,Vivo X This Is Essential Sleeveless Scooped Neck Bodysuit,Vivo,Tops,Bodysuits,Retired,1950.0,1950.0,2.0,34.0,0,20,56
V0925010,Vivo Basic Crepe Bishop Sleeve Top,Vivo,Tops,Fitted Tops,Retired,3500.0,3500.0,10.0,0,31.0,15,56
S0425039,Shiv & Shikie X Safari Barrel Pants,Third Party Brands,Bottoms,Full Length Pants,Retired,4800.0,4800.0,22.0,11.0,3,16,52
V0223139,Vivo Izzy Satin Bishop Sleeve Top,Vivo,Tops,Fitted Tops,Retired,3750.0,2450.0,33.0,0,7.0,10,50
V0524004,Vivo X This Is Essential One Shoulder Bodysuit,Vivo,Tops,Bodysuits,Retired,2250.0,2250.0,0,41.0,0,8,49
V0625018,Vivo Alani High Low Dress,Vivo,Dresses,Knee Length Dresses,Retired,5500.0,2850.0,3.0,15.0,13.0,12,43
V0424116,Vivo X This Is Essential Raceback Bralette,Vivo,Tops,Midriff & Crop Tops,Retired,1500.0,1500.0,0,39.0,0,4,43
Z0125031,Zoya Sadira Mens' Chino Pants,Zoya,Bottoms,Men's Bottoms,Retired,2950.0,1950.0,0,0,15.0,27,42
S0724009,Safari Savannah Wrap Top,Safari,Tops,Fitted Tops,Retired,5250.0,5250.0,3.0,10.0,0,28,41
S1124144,Safari Sizani 2 Way Wrap Top,Safari,Tops,Midriff & Crop Tops,Retired,6250.0,3250.0,0,30.0,1.0,9,40
V0822022,Vivo Basic Sleeveless Tent Dress,Vivo,Dresses,Knee Length Dresses,Retired,4900.0,4900.0,2.0,0,35.0,3,40
S0424145,Safari Men's Long Sleeve Shirt,Safari,Tops,Men's Tops,Retired,4250.0,1250.0,3.0,10.0,16.0,10,39
V0623033,Vivo Basic Spaghetti Strap Tank Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,450.0,1.0,25.0,4.0,8,38
V0819124,Vivo Basic Ali Jacket,Vivo,Outerwear,Jackets & Coats,Retired,2950.0,2950.0,5.0,19.0,3.0,11,38
S0925041,Safari Njano Men's Short Sleeve Shirt,Safari,Tops,Men's Tops,Retired,5800.0,5800.0,5.0,1.0,12.0,19,37
Z0324012,Zoya Taani Maxi Dress,Zoya,Dresses,Maxi Dresses,Retired,3250.0,1100.0,0,11.0,1.0,23,35
S0925060,Safari By Vivo Mens Cotton Short Sleeve Shirt,Safari,Tops,Men's Tops,Retired,4400.0,4400.0,2.0,10.0,10.0,13,35
V0621001,Vivo J.O V-Neck Sheath Dress,Vivo,Dresses,Knee Length Dresses,Retired,4250.0,4250.0,3.0,30.0,2.0,0,35
S0325065,Safari Naledi Gathered Panel Maxi Skirt,Safari,Skirts,Maxi Skirts,Retired,6400.0,6400.0,3.0,17.0,8.0,6,34
V0719105,Vivo Basic A-line Maxi Skirt,Vivo,Skirts,Maxi Skirts,Retired,4500.0,4250.0,12.0,3.0,12.0,6,33
S0925059,Safari By Vivo Mens Cotton Shorts,Safari,Bottoms,Men's Bottoms,Retired,3400.0,3400.0,1.0,2.0,19.0,11,33
