Style Number,Style Name,Brand,Category,Subcategory,Status,Highest Sold Price (KES),Current Price (KES),Warehouse,Retired Location,Stores,Online,Total SOH
V1024045,Vivo Pelia Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3250.0,950.0,1.0,7.0,0,3,11
V0723033,Vivo Basic Long Sleeve Cascade Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,5250.0,1950.0,4.0,2.0,1,4,11
S0724125,Safari Savannah Men's Short Sleeve Shirt,Safari,Tops,Men's Tops,Retired,5950.0,4200.0,0,3.0,2.0,6,11
VE0001T,Vivo Essentials Tank Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,750.0,0,6.0,2.0,3,11
S1024019,Safari Chui Jodhpur Pants,Safari,Bottoms,Full Length Pants,Retired,6250.0,6250.0,6.0,0,3.0,2,11
S0325016,Safari Tawi Off-Shoulder Top,Safari,Tops,Loose Tops,Retired,2950.0,1150.0,0,1.0,7.0,3,11
Z1123052,Zoya Party Cowl Bare Back Mini Dress,Zoya,Dresses,Short & Mini Dresses,Retired,2750.0,2750.0,0,0,0,10,10
S0824053,Safari Men's Long Sleeve T-shirt,Safari,Tops,Men's Tops,Retired,2250.0,650.0,1.0,2.0,0,7,10
V0719112,Vivo Basic Long Sleeved Bodysuit,Vivo,Tops,Bodysuits,Retired,2900.0,2050.0,6.0,2.0,1.0,0,10
Z0724101,Zoya Basic Halter Tie Top,Zoya,Tops,Midriff & Crop Tops,Retired,1250.0,1250.0,0,3.0,1.0,6,10
S0623035,Safari Hawi Cargo Pants,Safari,Bottoms,Full Length Pants,Retired,5250.0,5250.0,0,3.0,3.0,4,10
V0823134,Vivo Basic Long Sleeve Bodysuit (Seamless),Vivo,Tops,Bodysuits,Retired,2900.0,2000.0,6.0,0,0,4,10
Z1019075,Zoya Basic Jersey Bandeau,Zoya,Tops,Midriff & Crop Tops,Retired,975.0,750.0,0,0,10.0,0,10
S0424041,Safari Men's Kitenge Drawstring Shorts,Safari,Bottoms,Men's Bottoms,Retired,3550.0,3400.0,1.0,0,8.0,1,10
Z0125019,Zoya Sadira Ribbed Top,Zoya,Tops,Fitted Tops,Retired,2250.0,2250.0,0,5.0,0,5,10
Z1123021,Zoya Party Drawstring Hoodie,Zoya,Outerwear,Hoodies & Sweatshirts,Retired,0,2750.0,0,0,0,10,10
V0225003,Vivo Ayah Drawstring Pants,Vivo,Bottoms,Full Length Pants,Retired,4900.0,3450.0,0,0,4,6,10
Z0724051,Zoya Banda Bandeau Asymmetrical Crop Top,Zoya,Tops,Midriff & Crop Tops,Retired,1550.0,350.0,0,1.0,1.0,8,10
V1122193,Vivo Basic Sleeveless Extra Long Lily Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4950.0,1950.0,2.0,5.0,0,3,10
Z0424111,Zoya Yuni Men's Fleece Sweat Pants,Zoya,Bottoms,Men's Bottoms,Retired,2950.0,1500.0,0,0,3.0,7,10
V0424158,Vivo Cowl Camisole,Vivo,Tops,Loose Tops,Retired,2550.0,1050.0,2.0,1.0,1,6,10
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Third Party Brands,Bottoms,Full Length Pants,Retired,3500.0,700.0,0,0,10.0,0,10
Z0124039,Zoya Luna Drape Tie Top,Zoya,Tops,Loose Tops,Retired,2950.0,1050.0,0,0,1.0,9,10
V0719261,Vivo Basic Long Sleeved Double Layered Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,4250.0,4250.0,3.0,1.0,6.0,0,10
V0924031,Vivo Lalani Lounge Pants,Vivo,Bottoms,Full Length Pants,Retired,5250.0,1050.0,0,0,3.0,7,10
VE0055P,Vivo Nimali Satin Joggers,Vivo,Bottoms,Full Length Pants,Retired,0,1450.0,3.0,2.0,0,5,10
Z0824059,Zoya Temo Asymmetric Front Cut Crop Top,Zoya,Tops,Fitted Tops,Retired,950.0,250.0,0,0,0,10,10
V0625030,Vivo Aleri Coat,Vivo,Outerwear,Jackets & Coats,Retired,5900.0,5900.0,1.0,0,8.0,0,9
Z1123055,Zoya Party Sheer Pants,Zoya,Bottoms,Full Length Pants,Retired,0,2250.0,0,1.0,0,8,9
V1223037,Vivo X This Is Essentials Long Sleeve Crew Neck Bodysuit,Vivo,Tops,Bodysuits,Retired,3800.0,3750.0,0,8.0,0,1,9
S0824030,Safari Njano Men's Knee Length Shorts,Safari,Bottoms,Men's Bottoms,Retired,5550.0,1650.0,0,1.0,5.0,3,9
S1123111,Safari Lira Front Panelled Shirt Dress,Safari,Dresses,Knee Length Dresses,Retired,4950.0,2320.0,1.0,1.0,1.0,6,9
S0223179,Safari Mali Bishop Sleeve Tent Dress,Safari,Dresses,Knee Length Dresses,Retired,5950.0,5950.0,0,7.0,0,2,9
S1123109,Safari Lira Panelled Camisole Top,Safari,Tops,Fitted Tops,Retired,2550.0,250.0,0,0,9.0,0,9
V0423055,Vivo Leila Cap Sleeve Tent Knee Length Dress,Vivo,Dresses,Knee Length Dresses,Retired,4550.0,4550.0,0,6.0,0,3,9
S0424064,Safari Bush Drop Shoulder Long Sleeve Top,Safari,Tops,T-shirts & Tank Tops,Retired,2750.0,2000.0,0,4.0,1.0,4,9
S0624019,Safari Savannah Men's Half Placket Shirt,Safari,Tops,Men's Tops,Retired,6250.0,4550.0,2.0,3.0,1.0,3,9
S0623047,Safari Basic Shirt Tent Dress,Safari,Dresses,Knee Length Dresses,Retired,5250.0,5250.0,2.0,3.0,0,4,9
V0825019,Vivo Nora Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,4900.0,2450.0,0,0,8.0,1,9
VE0031S,Vivo Long Sleeve Blazer,Vivo,Outerwear,Jackets & Coats,Retired,0,3900.0,0,5.0,0,4,9
S0924026,Safari Mansi Mens Shorts,Safari,Bottoms,Men's Bottoms,Retired,3300.0,950.0,0,4.0,1.0,4,9
S0425037,Shiv & Shikie X Safari Cargo Pants,Third Party Brands,Bottoms,Men's Bottoms,Retired,5800.0,5800.0,1.0,1.0,1.0,6,9
VE0055B,Vivo Nimali Satin Joggers,Vivo,Bottoms,Full Length Pants,Retired,2950.0,1450.0,4.0,0,0,5,9
Z0624103,Zoya Yuni Men's Long Sleeve T-shirt,Zoya,Tops,Men's Tops,Retired,1950.0,1400.0,0,0,3.0,6,9
Z0724018,Zoya Shani Men's Drawstring Shorts,Zoya,Bottoms,Men's Bottoms,Retired,2550.0,650.0,0,0,5.0,4,9
Z1123021,Zoya Party Drawstring Hoodie,Zoya,Outerwear,Hoodies & Sweatshirts,Retired,0,1050.0,0,0,3.0,6,9
V0224240,Vivo Must Have Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,3550.0,3550.0,0,2.0,1,6,9
V0325003,Vivo Niari Boat Neck Dress,Vivo,Dresses,Knee Length Dresses,Retired,4950.0,4950.0,0,3.0,0,6,9
V0823155,Vivo X This Is Essential Strappy Bodysuit,Vivo,Tops,Bodysuits,Retired,2250.0,2250.0,1.0,5.0,0,3,9
V1024043,Vivo Beali Two Way Wrap Top,Vivo,Tops,Midriff & Crop Tops,Retired,3250.0,1350.0,3.0,0,2.0,4,9
V0425003,Vivo Rema Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3900.0,3900.0,2.0,3.0,0,4,9
S0724088,Safari Savannah Midi Wrap Dress,Safari,Dresses,Midi & Capri Dresses,Retired,9250.0,9250.0,4.0,0,1.0,4,9
VE0008O,Vivo Essentials Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,3950.0,3950.0,0,5.0,0,4,9
Z0724062,Zoya Banda Unisex Shacket,Zoya,Outerwear,Jackets & Coats,Retired,2500.0,2500.0,0,1.0,0,8,9
Z0124037,Zoya Luna Halter Neck Top,Zoya,Tops,Midriff & Crop Tops,Retired,1750.0,900.0,0,4.0,0,5,9
Z0125020,Zoya Sadira Strappy Bodysuit,Zoya,Tops,Bodysuits,Retired,1950.0,1950.0,0,1.0,0,7,8
Z0624006,Zoya Shani Off Shoulder Crop Top,Zoya,Tops,Midriff & Crop Tops,Retired,2250.0,450.0,0,3.0,0,5,8
V0722034,Vivo Basic Julia 3/4 Sleeve Back Pleat Knee Length Dress,Vivo,Dresses,Knee Length Dresses,Retired,4250.0,4250.0,4.0,0,1,3,8
S0123088,Safari Mali 3/4 Bishop Sleeve Tie Top,Safari,Tops,Fitted Tops,Retired,4250.0,4250.0,0,1.0,0,7,8
V0225032,Vivo Ayah Shirred Cuff Loose Top,Vivo,Tops,Fitted Tops,Retired,3550.0,3550.0,0,3.0,0,5,8
V0125033,Vivo Yene Front Tie Tunic Top,Vivo,Tops,Fitted Tops,Retired,3550.0,3550.0,3.0,0,0,5,8
V0622079,Vivo Wingu Three Tiered Knee Length Dress,Vivo,Dresses,Knee Length Dresses,Retired,5500.0,2250.0,1.0,2.0,4.0,1,8
S0824028,Safari Njano Men's Easy Fit Pants,Safari,Bottoms,Men's Bottoms,Retired,6750.0,4800.0,4.0,1.0,0,3,8
V0825009,Vivo Nora 3/4 Sleeve Peplum Top,Vivo,Tops,Fitted Tops,Retired,2900.0,2250.0,0,3.0,0,5,8
V0225027,Vivo Niari Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,2950.0,850.0,0,1.0,5.0,2,8
V0323019,Vivo Basic V-neck Cap Sleeve Top,Vivo,Tops,T-shirts & Tank Tops,Retired,2550.0,1350.0,0,2.0,0,6,8
S0623056,Safari Anga Puffy Short Sleeve Tie Top,Safari,Tops,Midriff & Crop Tops,Retired,3250.0,960.0,0,2.0,0,6,8
V0719553,Vivo Mock Neck Tent Maxi Dress,Vivo,Dresses,Maxi Dresses,Retired,4750.0,4750.0,0,4.0,0,3,7
S0824053,Safari Men's Long Sleeve T-shirt,Safari,Tops,Men's Tops,Retired,2250.0,1200.0,0,2.0,1.0,4,7
Z0324067,Zoya Yuni Sleeveless Turtle Neck Maxi Top,Zoya,Tops,Fitted Tops,Retired,2250.0,2250.0,0,1.0,0,6,7
V0220007,Vivo Basic Double Layered Long Sleeved Bodysuit,Vivo,Tops,Bodysuits,Retired,2900.0,2050.0,0,0,7,0,7
V0121134,Vivo Basic Nalia High Low Jersey Top,Vivo,Tops,T-shirts & Tank Tops,Retired,3250.0,1350.0,0,3.0,4.0,0,7
Z0924065,Zoya Aridi Cropped Jacket,Zoya,Outerwear,Jackets & Coats,Retired,2250.0,1600.0,0,0,0,7,7
V1026039,Vivo High Low Top In Crepe,Vivo,Tops,Loose Tops,Retired,4200.0,4200.0,0,0,5.0,2,7
V0724132,Vivo Situ Off-Shoulder Tie Maxi Dress,Vivo,Dresses,Maxi Dresses,Retired,5900.0,5900.0,2.0,0,0,5,7
VE0001O,Vivo Essentials Tank Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,1550.0,0,3.0,0,4,7
V0722034,Vivo Basic Julia 3/4 Sleeve Back Pleat Knee Length Dress,Vivo,Dresses,Knee Length Dresses,Retired,4250.0,2200.0,2.0,0,2.0,3,7
V0823125,Vivo Naya One Shoulder Flounce Jumpsuit,Vivo,Bottoms,Jumpsuits & Playsuits,Retired,6250.0,1100.0,0,2.0,1.0,4,7
VE0008W,Vivo Essentials Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,3950.0,3950.0,3.0,0,1.0,3,7
V0225023,Vivo Chela Scalloped Sleeveless Top,Vivo,Tops,Loose Tops,Retired,2900.0,2050.0,1.0,1.0,1.0,4,7
V0823129,Vivo Naya One Shoulder Flounce Top,Vivo,Tops,Fitted Tops,Retired,3550.0,700.0,0,4.0,0,3,7
VE0009B,Vivo Essentials Strappy Cold Shoulder Top,Vivo,Tops,Loose Tops,Retired,0,2600.0,0,5.0,0,2,7
VE0010B,Vivo Essentials Sleeveless One Shoulder Crop Top,Vivo,Tops,Midriff & Crop Tops,Retired,700.0,455.0,0,0,7,0,7
Z0824048,Zoya Temo Mens Short Sleeve T-shirt,Zoya,Tops,Men's Tops,Retired,1250.0,700.0,0,1.0,0,6,7
Z0824047,Zoya Temo Mens Camo Shirt,Zoya,Tops,Men's Tops,Retired,1750.0,1350.0,0,0,3.0,4,7
S0624028,Safari Savannah Men's Jacket,Safari,Outerwear,Jackets & Coats,Retired,8950.0,2650.0,1.0,0,3.0,3,7
V0323019,Vivo Basic V-neck Cap Sleeve Top,Vivo,Tops,T-shirts & Tank Tops,Retired,2550.0,1250.0,0,2.0,1.0,4,7
V0323019,Vivo Basic V-neck Cap Sleeve Top,Vivo,Tops,T-shirts & Tank Tops,Retired,2550.0,2550.0,0,5.0,0,2,7
V0324080,Vivo X This Is Essential Leggings,Vivo,Bottoms,Leggings,Retired,2950.0,2950.0,0,4.0,0,3,7
S0424073,Safari Kamari Ribbed Top,Safari,Tops,T-shirts & Tank Tops,Retired,3550.0,2500.0,4.0,2.0,0,1,7
S0724016,Safari Savannah Men's Long Sleeve Shirt,Safari,Tops,Men's Tops,Retired,6250.0,1850.0,0,3.0,0,4,7
V1124138,Vivo Yene Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,3950.0,2750.0,0,1.0,1.0,5,7
V0824021,Vivo Wila Dolman Tunic,Vivo,Tops,Loose Tops,Retired,4750.0,1850.0,0,5.0,0,2,7
V0422075,Vivo Basic Chiffon Dropped Shoulder Top,Vivo,Tops,Fitted Tops,Retired,2950.0,2950.0,0,4.0,0,3,7
Z0124043,Zoya Luna Cargo Pants,Zoya,Bottoms,Full Length Pants,Retired,3950.0,1050.0,0,0,3.0,4,7
V1124076,Vivo Meli Sleeveless Coat,Vivo,Outerwear,Jackets & Coats,Retired,3250.0,3250.0,1.0,2.0,0,3,6
Z0822110,Zoya Nia Puff Sleeve Off Shoulder Romper,Zoya,Bottoms,Jumpsuits & Playsuits,Retired,2750.0,2750.0,0,0,1.0,5,6
V0822002,Vivo Wingu Puff Sleeve Knee Length Dress,Vivo,Dresses,Knee Length Dresses,Retired,4950.0,3400.0,0,3.0,0,3,6
S0623073,Safari Anga Wide Shorts,Safari,Bottoms,Shorts & Skorts,Retired,3550.0,1050.0,1.0,3.0,0,2,6
V0225030,Vivo Ayah Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4950.0,4950.0,0,1.0,1,4,6
V0225029,Vivo Ayana Wide High Low Top,Vivo,Tops,Loose Tops,Retired,2900.0,1350.0,4.0,0,1.0,1,6
V0523123,Vivo Basic Double Layered Wrap Poncho (Without Fringe),Vivo,Outerwear,Sweaters & Ponchos,Retired,5550.0,5550.0,0,1.0,2.0,0,6
Z0724070,Zoya Banda Men's Wide Pants,Zoya,Bottoms,Men's Bottoms,Retired,4250.0,1250.0,0,0,0,6,6
V0125003,Vivo Yene Layered Midi Dress,Vivo,Dresses,Midi & Capri Dresses,Retired,5950.0,2350.0,1.0,2.0,0,3,6
S1123101,Safari Lira Drawstring Knee Length Dress,Safari,Dresses,Knee Length Dresses,Retired,6250.0,6250.0,5.0,0,0,1,6
S0724014,Safari Savannah Front Slit Midi Skirt,Safari,Skirts,Midi & Capri Skirts,Retired,5550.0,5550.0,0,4.0,0,2,6
Z0324049,Zoya Yuni Halter Midriff Top,Zoya,Tops,Midriff & Crop Tops,Retired,1250.0,700.0,0,4.0,0,2,6
Sample & Sale Items,Sample & Sale Items,Vivo,Sale,Sample & Sale Items,Retired,6950.0,650.0,1.0,0,5.0,0,6
V0325044,Vivo Basic Strappy Cowl Top,Vivo,Tops,Fitted Tops,Retired,2550.0,2550.0,0,3.0,0,3,6
V0525071,Vivo Maisha Straight Leg Pants in Crepe,Vivo,Bottoms,Full Length Pants,Retired,5900.0,2950.0,3.0,0,2.0,1,6
V0624095,Vivo Hamle Side Twist Tie Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,4950.0,3400.0,3.0,0,0,3,6
V0924074,Vivo Leila Short Sleeve Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,3550.0,3550.0,0,1.0,0,5,6
V0719254,Vivo Destiny Chiffon Top,Vivo,Tops,Loose Tops,Retired,3950.0,1250.0,1.0,5.0,0,0,6
V1019045,Vivo Basic Liv Chiffon Top,Vivo,Tops,Loose Tops,Retired,2950.0,1150.0,0,5.0,0,1,6
Z0124039,Zoya Luna Drape Tie Top,Zoya,Tops,Loose Tops,Retired,2950.0,950.0,0,0,0,6,6
VE0008Y,Vivo Essentials Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,3950.0,1050.0,0,0,4,2,6
Z0225009,Zoya Vasha Biker Shorts,Zoya,Bottoms,Shorts & Skorts,Retired,950.0,950.0,0,0,2.0,4,6
V0525026,Vivo Maisha Wide Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4500.0,3150.0,2.0,0,2.0,2,6
V1023042,Vivo Ava 3/4 Sleeve Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4950.0,3450.0,1.0,0,1.0,4,6
Z1024023,Zoya Aridi Leggings,Zoya,Bottoms,Leggings,Retired,950.0,500.0,0,0,0,6,6
VE0008B,Vivo Essentials Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,3950.0,3950.0,1.0,2.0,0,3,6
V1024063,Vivo Basic Hooded Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,5550.0,2750.0,0,3.0,0,2,6
V0921140,Vivo Alek 3/4 Sleeve A-Line Maxi Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4550.0,4550.0,3.0,0,0,3,6
S0423039,Safari Men's Chinese Collar Long Sleeve Shirt,Safari,Tops,Men's Tops,Retired,0,2700.0,0,2.0,0,4,6
V0422075,Vivo Basic Chiffon Dropped Shoulder Top,Vivo,Tops,Fitted Tops,Retired,2950.0,1150.0,3.0,0,2.0,1,6
V0524181,Vivo Kitenge Infinity Jumpsuit,Vivo,Bottoms,Jumpsuits & Playsuits,Retired,4950.0,1950.0,1.0,2.0,0,3,6
Z0924034,Zoya Temo Straight Leg Pants,Zoya,Bottoms,Full Length Pants,Retired,2250.0,1450.0,0,2.0,0,4,6
V0125033,Vivo Yene Front Tie Tunic Top,Vivo,Tops,Fitted Tops,Retired,3550.0,2450.0,2.0,0,4,0,6
S0123088,Safari Mali 3/4 Bishop Sleeve Tie Top,Safari,Tops,Fitted Tops,Retired,4250.0,3000.0,0,1.0,0,5,6
V0225011,Vivo Niari straight leg Pants,Vivo,Bottoms,Full Length Pants,Retired,3950.0,1950.0,0,1.0,4.0,1,6
V0121134,Vivo Basic Nalia High Low Jersey Top,Vivo,Tops,T-shirts & Tank Tops,Retired,3250.0,1050.0,0,5.0,1.0,0,6
VE0003T,Vivo Essentials Capri Leggings,Vivo,Bottoms,Leggings,Retired,2500.0,2500.0,0,0,6.0,0,6
V0224216,Vivo Safiya Gathered Shoulder Maxi Dress,Vivo,Dresses,Maxi Dresses,Retired,5550.0,3400.0,0,3.0,1.0,2,6
VE0001W,Vivo Essentials Tank Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,1550.0,0,1.0,3.0,2,6
Z0624020,Zoya Shani Sarong Wrap,Zoya,Skirts,Maxi Skirts,Retired,3250.0,3250.0,0,2.0,0,4,6
S1023063,Safari Zene Tiered Above Knee Dress,Safari,Dresses,Knee Length Dresses,Retired,5550.0,5550.0,0,4.0,0,2,6
S0424073,Safari Kamari Ribbed Top,Safari,Tops,T-shirts & Tank Tops,Retired,3550.0,750.0,0,3.0,0,3,6
V0825008,Vivo Ria Pants & Waterfall Set,Vivo,Two-Piece Sets,Pants & Top Set,Retired,7500.0,7500.0,6.0,0,0,0,6
V0622062,Vivo Basic Cowl Jersey Top,Vivo,Tops,Loose Tops,Retired,2950.0,1150.0,0,1.0,3.0,2,6
V1122145,Vivo Fahari 3/4 Sleeve Shirred Shirt,Vivo,Tops,Fitted Tops,Retired,3250.0,3250.0,0,2.0,0,4,6
V0621112,Vivo Extra Long May Jersey Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4550.0,4550.0,0,2.0,2,2,6
V0224240,Vivo Must Have Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,3550.0,2450.0,0,1.0,2,3,6
S0224190,Safari Kamari Halter Shirt,Safari,Tops,Fitted Tops,Retired,3750.0,3050.0,1.0,2.0,0,3,6
Z1024053,Zoya X Metamorphisized 143 Oversized Bowling Shirt,Zoya,Tops,Fitted Tops,Retired,3750.0,3750.0,0,1.0,1.0,4,6
S0624022,Safari Savannah Men's Drawstring Shorts (Regular),Safari,Bottoms,Men's Bottoms,Retired,5550.0,2800.0,0,2.0,1.0,3,6
Z0724103,Zoya Shani Men's Summer Shirt,Zoya,Tops,Men's Tops,Retired,3550.0,1850.0,0,0,2.0,4,6
Z1024057,Zoya X Metamorphisized 143 Cropped Bomber Jacket,Zoya,Outerwear,Jackets & Coats,Retired,3950.0,3250.0,0,1.0,1.0,4,6
V0719112,Vivo Basic Long Sleeved Bodysuit,Vivo,Tops,Bodysuits,Retired,2900.0,850.0,1.0,0,5.0,0,6
V0425046,Vivo Analo Sleeveless Tie Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3900.0,1550.0,1.0,1.0,0,4,6
S0624019,Safari Savannah Men's Half Placket Shirt,Safari,Tops,Men's Tops,Retired,6250.0,4400.0,0,2.0,0,4,6
V0921140,Vivo Alek 3/4 Sleeve A-Line Maxi Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4550.0,3150.0,0,0,2.0,3,5
S0423069,Safari Hawi Peplum Bishop Sleeve Wrap Coat,Safari,Outerwear,Jackets & Coats,Retired,3550.0,1050.0,0,0,5,0,5
S0322133,Safari Tawi Bishop Sleeve Tiered Dress,Safari,Dresses,Knee Length Dresses,Retired,5550.0,4950.0,0,0,4.0,1,5
V1023097,Vivo Amara Sleeveless High Low Top,Vivo,Tops,Loose Tops,Retired,2750.0,900.0,1.0,0,0,4,5
V0924033,Vivo Hoodie High Low Poncho,Vivo,Outerwear,Sweaters & Ponchos,Retired,6550.0,6550.0,4.0,0,0,1,5
Z0821148,Zoya Essentials Mini Bodycon,Zoya,Dresses,Short & Mini Dresses,Retired,2750.0,550.0,0,0,2.0,3,5
V0325003,Vivo Niari Boat Neck Dress,Vivo,Dresses,Knee Length Dresses,Retired,4950.0,3550.0,1.0,0,0,4,5
V0325007,Vivo Safa Skirt,Vivo,Skirts,Midi & Capri Skirts,Retired,2950.0,2050.0,0,1.0,0,4,5
S0925040,Safari by Vivo Naledi Bubble Midi Dress,Safari,Dresses,Midi & Capri Dresses,Retired,5800.0,4050.0,0,0,2.0,3,5
S0924003,Safari Mansi Dolman Top,Safari,Tops,T-shirts & Tank Tops,Retired,3950.0,2750.0,1.0,1.0,0,3,5
S0924003,Safari Mansi Dolman Top,Safari,Tops,T-shirts & Tank Tops,Retired,3950.0,1150.0,0,0,2.0,3,5
Z0724060,Zoya Banda Drop Shoulder Unisex Wide Jacket,Zoya,Outerwear,Jackets & Coats,Retired,3550.0,750.0,0,1.0,0,4,5
V0325071,Vivo Safa Slit Side Top,Vivo,Tops,Fitted Tops,Retired,3550.0,3550.0,0,3.0,0,2,5
V0422058,Vivo Basic Tsavo Scalloped Chiffon Top,Vivo,Tops,Fitted Tops,Retired,2750.0,1050.0,0,0,5.0,0,5
Z0225004,Zoya Vasha Sleeveless Turtleneck Mini Bodycon,Zoya,Dresses,Short & Mini Dresses,Retired,1950.0,1950.0,0,1.0,0,4,5
V0220053,Vivo Basic May Jersey Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3750.0,1050.0,3.0,0,2.0,0,5
V0525078,Vivo Samira Wide Satin Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3500.0,3500.0,3.0,0,0,2,5
Z0125027,Zoya Sadira Cargo Shorts,Zoya,Bottoms,Shorts & Skorts,Retired,1950.0,1950.0,0,0,1,4,5
Z0125024,Zoya Sadira Men's Long Sleeve T Shirt,Zoya,Tops,Men's Tops,Retired,1750.0,1750.0,0,0,0,5,5
V0625005,Vivo Alani Pallazo Pants,Vivo,Bottoms,Full Length Pants,Retired,4500.0,4500.0,1.0,0,1,3,5
V0625008,Vivo Ari Short Sleeve Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1900.0,1900.0,1.0,0,1.0,3,5
VE0041A,Vivo Sleeveless Blazer,Vivo,Outerwear,Jackets & Coats,Retired,3950.0,3950.0,0,3.0,0,2,5
S0724084,Safari Savannah Kitenge Chinese Collar Shirt,Safari,Tops,Fitted Tops,Retired,4550.0,3200.0,0,1.0,0,4,5
VE0034M,Vivo Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,0,2450.0,0,0,2,3,5
S0625014,Safari 3/4 Sleeve Maxi Kimono With Headwrap,Safari,Outerwear,Waterfalls & Kimonos,Retired,6400.0,6400.0,0,3.0,0,2,5
S0624028,Safari Savannah Men's Jacket,Safari,Outerwear,Jackets & Coats,Retired,8950.0,1850.0,1.0,1.0,0,3,5
S0624027,Safari Savannah Men's Straight Leg Pants,Safari,Bottoms,Men's Bottoms,Retired,6750.0,3400.0,0,2.0,1.0,2,5
S0623073,Safari Anga Wide Shorts,Safari,Bottoms,Shorts & Skorts,Retired,3550.0,1500.0,0,0,0,5,5
VE0002B,Vivo Essentials Biker Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,1750.0,1750.0,0,0,2.0,3,5
V1223041,Vivo Situ Side Slit Midi Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,5250.0,5250.0,0,1.0,0,4,5
V0725044,Vivo  Tanda A-Line Maxi Dress,Vivo,Dresses,Maxi Dresses,Retired,4900.0,4900.0,1.0,0,3.0,1,5
S1023064,Safari Zene High Low Shirt Dress,Safari,Dresses,Midi & Capri Dresses,Retired,5750.0,4100.0,1.0,0,1.0,3,5
V0821064,Vivo Basic Crepe Cap Sleeved Top,Vivo,Tops,Fitted Tops,Retired,2550.0,2550.0,2.0,0,2,1,5
V0623013,Vivo Zahari Sweatheart Neck Jumpsuit,Vivo,Bottoms,Jumpsuits & Playsuits,Retired,6750.0,2650.0,0,0,2.0,2,4
Z1024053,Zoya X Metamorphisized 143 Oversized Bowling Shirt,Zoya,Tops,Fitted Tops,Retired,3750.0,2250.0,0,0,2.0,2,4
V0320040,Vivo Basic Boundneck Puff Sleeve Top,Vivo,Tops,Fitted Tops,Retired,3250.0,3250.0,0,4.0,0,0,4
V0424158,Vivo Cowl Camisole,Vivo,Tops,Loose Tops,Retired,2550.0,1300.0,0,0,2.0,2,4
V0525043,Vivo Samira Maxi Kimono,Vivo,Outerwear,Waterfalls & Kimonos,Retired,5900.0,4150.0,2.0,0,2.0,0,4
V0225025,Vivo Chela Drawstring Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,2550.0,1350.0,1.0,0,2,1,4
S0923093,Safari Kikoy Wrap Dress,Safari,Dresses,Maxi Dresses,Retired,6950.0,4850.0,0,0,1.0,3,4
V0924042,Vivo Mandla High Neck A-Line Dress,Vivo,Dresses,Knee Length Dresses,Retired,3950.0,1900.0,0,0,0,4,4
V0719261,Vivo Basic Long Sleeved Double Layered Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,4250.0,2450.0,0,0,4.0,0,4
S0724127,Safari Njano Wide Leg Pants,Safari,Bottoms,Full Length Pants,Retired,4750.0,3400.0,0,0,0,4,4
V0719261,Vivo Basic Long Sleeved Double Layered Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,4250.0,2950.0,0,0,1.0,3,4
V0625008,Vivo Ari Short Sleeve Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1900.0,1350.0,0,0,3.0,1,4
V0819126,Vivo Basic Tulip Sweater,Vivo,Outerwear,Sweaters & Ponchos,Retired,3900.0,2500.0,0,0,4.0,0,4
