Odoo ID,Odoo Link,Product Name,Style Name,Style Number,Status,Fabric Barcode,Fabric Plain/Print,Fabric Source Country,Fabric Source City,Fabric Structure,Fabric Category,Fabric Sub-Category,Fabric Primary Color,Fabric Width (m),Fabric GSM,Supplier Fabric Code,Supplier Fabric Colour Code
240072,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=240072,Vivo Everyday Cap Sleeve Top in Jersey - Yellow,Vivo Everyday Cap Sleeve Top in Jersey,V1120036,Active,,,,,,,,,,,,
305164,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305164,Vivo Everyday Cap Sleeve Top in Jersey-White,Vivo Everyday Cap Sleeve Top in Jersey,V1120036,Active,,,,,,,,,,,,
342469,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342469,Vivo Everyday Long Sleeve Top In Jersey  - FS,Vivo Everyday Long Sleeve Top In Jersey,Sample & Sale Items,Sample,,,,,,,,,,,,
344609,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=344609,Vivo Everyday Long Sleeve Top In Jersey - Army Green,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302959] FASHION KNITTED 1629 - Army Green,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Blue,1.8,260,FASHION KNITTED 1629,
305166,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305166,Vivo Everyday Long Sleeve Top In Jersey - Chocolate,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,Generic Barcode,Plain,,,,,,,,,,
305167,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305167,Vivo Everyday Long Sleeve Top In Jersey - Mulberry,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302957] FASHION KNITTED 1629 - Mulberry,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Unknown,1.8,260,FASHION KNITTED 1629,
344610,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=344610,Vivo Everyday Long Sleeve Top In Jersey - Olive,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302965] FASHION KNITTED 1629 - Light Olive,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Green,1.8,260,FASHION KNITTED 1629,
305168,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305168,Vivo Everyday Long Sleeve Top In Jersey - Powder Blue,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302949] FASHION KNITTED 1629 - Powder Blue,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Blue,1.8,260,FASHION KNITTED 1629,
305169,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305169,Vivo Everyday Long Sleeve Top In Jersey - Rust,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302958] FASHION KNITTED 1629 - Rust,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Orange,1.8,260,FASHION KNITTED 1629,
305170,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305170,Vivo Everyday Long Sleeve Top In Jersey - Tan,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302962] FASHION KNITTED 1629 - Dark Tan,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Brown,1.8,260,FASHION KNITTED 1629,
240084,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=240084,Vivo Everyday Long Sleeve Top in Jersey - Black,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302950] FASHION KNITTED 1629 - Black,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Black,1.8,260,FASHION KNITTED 1629,
240104,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=240104,Vivo Everyday Long Sleeve Top in Jersey - Taupe,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302961] FASHION KNITTED 1629 - Taupe,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Brown,1.8,260,FASHION KNITTED 1629,
240105,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=240105,Vivo Everyday Long Sleeve Top in Jersey - White,Vivo Everyday Long Sleeve Top In Jersey,V0723043,Active,[302953] FASHION KNITTED 1629 - White,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,White,1.8,260,FASHION KNITTED 1629,
246979,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246979,Vivo Everyday Long Sleeved Double Layered Bodysuit - Chocolate Brown,Vivo Basic Double Layered Long Sleeved Bodysuit,V0220007,Retired,,,,,,,,,,,,
246980,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246980,Vivo Everyday Long Sleeved Double Layered Bodysuit - Dark Mustard,Vivo Basic Double Layered Long Sleeved Bodysuit,V0220007,Retired,,,,,,,,,,,,
246981,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246981,Vivo Everyday Long Sleeved Double Layered Bodysuit - Dark Teal,Vivo Basic Double Layered Long Sleeved Bodysuit,V0220007,Retired,,,,,,,,,,,,
342474,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342474,Vivo Everyday Short Waterfall  - FS,Vivo Everyday Short Waterfall,Sample & Sale Items,Sample,,,,,,,,,,,,
342473,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342473,Vivo Everyday Short Waterfall in Jersey  - FS,Vivo Basic Short Waterfall,Sample & Sale Items,Sample,,,,,,,,,,,,
239312,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239312,Vivo Everyday Short Waterfall in Jersey - Black,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302623] YAJUN-HS8912-Knit-Light Rayon Jersey- Black 33-1.75-260,Plain,China,Guangzhou,Knit,Interlock Jersey,Heavy Interlock Jersey,,1.75,260,,
239315,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239315,Vivo Everyday Short Waterfall in Jersey - Burgundy,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302953] FASHION KNITTED 1629 - White,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,White,1.8,260,FASHION KNITTED 1629,
246983,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246983,Vivo Everyday Short Waterfall in Jersey - Chocolate,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302951] FASHION KNITTED 1629 - Chocolate Brown,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Brown,1.8,260,FASHION KNITTED 1629,
272259,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=272259,Vivo Everyday Short Waterfall in Jersey - Dark Green,Vivo Everyday Short Waterfall in Jersey,V0719674,Active,[302871] YAJUN HS8912 - Dark Green,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Green,1.75,260,YAJUN HS8912,
