id,name,active,default_code,barcode,categ_id,product_variant_count,x_vivo_attr_18,x_style_number_text,x_studio_style_name_gi,x_vivo_attr_16,x_style_name_text,x_vivo_attr_97,x_vivo_attr_99,x_colour_way_sku_text,x_vivo_attr_112,x_studio_fabric_ref,x_studio_brand,x_vivo_attr_22,x_studio_categories,x_vivo_categories,x_studio_fab_100,x_vivo_attr_100,x_studio_fab_101,x_vivo_attr_101,x_studio_fab_102,x_vivo_attr_102,x_studio_fab_103,x_vivo_attr_103,x_studio_fab_124,x_vivo_attr_124,x_studio_fab_125,x_vivo_attr_125,x_studio_fab_25,x_vivo_attr_25,x_studio_fab_38,x_vivo_attr_38,x_studio_fab_43,x_vivo_attr_43,x_studio_fab_48,x_vivo_attr_48,x_vivo_duplicate_key,x_vivo_duplicate_cleanup_state
342212,Safari Kikoy Tie Back Maxi Dress - Pink,True,,,17||01. Finished Goods Inventory,4,21750||S0923071,S0923071,14450||Safari Kikoy Tie Back Maxi Dress,14450||Safari Kikoy Tie Back Maxi Dress,Safari Kikoy Tie Back Maxi Dress,59959||Retired,61038||Retired,,,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
60247,Safari Kikoy Tie Back Maxi Dress - White,True,,,17||01. Finished Goods Inventory,8,21750||S0923071,S0923071,14450||Safari Kikoy Tie Back Maxi Dress,14450||Safari Kikoy Tie Back Maxi Dress,Safari Kikoy Tie Back Maxi Dress,59958||Active,60010||Tier 2,,,608060||[302502] AMDHIR Kikoy Combed Cotton - White,64||Safari,24992||Safari by Vivo,122||Dresses,7831||Dresses,60022||Plain,60022||Plain,60026||Woven,60026||Woven,61256||Cotton Twill,61256||Cotton Twill,61336||Light Cotton Twill,61336||Light Cotton Twill,61114||Mombasa,61114||Mombasa,61115||Kenya,61115||Kenya,60246||1.5,60246||1.5,60310||90,60310||90,61382||AMDHIR Kikoy Combed Cotton,61382||AMDHIR Kikoy Combed Cotton,60880||White,60880||White,,
315939,Safari Kikoy Tunic High Low Top  - Brown,True,S1023066BROF,60034397,17||01. Finished Goods Inventory,1,21752||S1023066,S1023066,14452||Safari Kikoy Tunic High Low Top,14452||Safari Kikoy Tunic High Low Top,Safari Kikoy Tunic High Low Top,59959||Retired,61038||Retired,S1023066BRO,62463||S1023066BRO,,,24992||Safari by Vivo,,7830||Tops,,,,,,,,,,,,,,,,,,,,,,
308385,Safari Kikoy Tunic High Low Top  - Maroon,True,S1023066MARF,60034399,17||01. Finished Goods Inventory,1,21752||S1023066,S1023066,14452||Safari Kikoy Tunic High Low Top,14452||Safari Kikoy Tunic High Low Top,Safari Kikoy Tunic High Low Top,59959||Retired,61038||Retired,S1023066MAR,62464||S1023066MAR,,,24992||Safari by Vivo,,7830||Tops,,,,,,,,,,,,,,,,,,,,,,
88277,Safari Kikoy Tunic High Low Top With Side Slits - Light Blue Print,True,,,17||01. Finished Goods Inventory,,59701||Sample & Sale Items,Sample & Sale Items,14453||Safari Kikoy Tunic High Low Top With Side Slits,14453||Safari Kikoy Tunic High Low Top With Side Slits,Safari Kikoy Tunic High Low Top With Side Slits,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,121||Tops,,,,,,,,,,,,,,,,,,,,,,,
88278,Safari Kikoy Tunic High Low Top With Side Slits - Maroon Print,True,,,17||01. Finished Goods Inventory,,59701||Sample & Sale Items,Sample & Sale Items,14453||Safari Kikoy Tunic High Low Top With Side Slits,14453||Safari Kikoy Tunic High Low Top With Side Slits,Safari Kikoy Tunic High Low Top With Side Slits,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,121||Tops,,,,,,,,,,,,,,,,,,,,,,,
88284,Safari Kikoy Wide Elastic Shorts - Pink Print,True,,,17||01. Finished Goods Inventory,,21754||S0923106,S0923106,14454||Safari Kikoy Wide Elastic Shorts,14454||Safari Kikoy Wide Elastic Shorts,Safari Kikoy Wide Elastic Shorts,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,125||Bottoms,,,,,,,,,,,,,,,,,,,,,,,
304730,Safari Kikoy Wide Elastic Shorts -Green / Pink Print,True,,,17||01. Finished Goods Inventory,2,21754||S0923106,S0923106,14454||Safari Kikoy Wide Elastic Shorts,14454||Safari Kikoy Wide Elastic Shorts,Safari Kikoy Wide Elastic Shorts,59959||Retired,61038||Retired,,,,,24992||Safari by Vivo,,7834||Bottoms,,,,,,,,,,,,,,,,,,,,,,
88286,Safari Kikoy Wide Leg Pants -Black,True,,,17||01. Finished Goods Inventory,,59701||Sample & Sale Items,Sample & Sale Items,14457||Safari Kikoy Wide Leg Pants,14457||Safari Kikoy Wide Leg Pants,Safari Kikoy Wide Leg Pants,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,125||Bottoms,,,,,,,,,,,,,,,,,,,,,,,
304731,Safari Kikoy Wrap Dress - Frost,True,S0923093FRO2X,60027681,17||01. Finished Goods Inventory,1,21755||S0923093,S0923093,14455||Safari Kikoy Wrap Dress,14455||Safari Kikoy Wrap Dress,Safari Kikoy Wrap Dress,59959||Retired,61038||Retired,S0923093FRO,62465||S0923093FRO,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
