barcode,sku,product_name,style_name,style_number,product_type,category,price,warehouse_available,online_available,suggested_online_alloc,flag
60068186,V0526012BLAS/M,Vivo Dolman Sweater in Rib - Black,Vivo Dolman Sweater in Rib,V0526012,Sweaters & Ponchos,Outerwear,3900.0,227.0,0,3,WAREHOUSE NOT ONLINE
60043176,V0421160RBLAS,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,121.0,0,3,WAREHOUSE NOT ONLINE
60019525,V0623042BLAS/M,Vivo Cowl Neck Knit Sweater - Black,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,112.0,0,3,WAREHOUSE NOT ONLINE
60068187,V0526012BLAL/1X,Vivo Dolman Sweater in Rib - Black,Vivo Dolman Sweater in Rib,V0526012,Sweaters & Ponchos,Outerwear,3900.0,111.0,0,3,WAREHOUSE NOT ONLINE
60043802,V0623042IVOS/M,Vivo Cowl Neck Knit Sweater - Ivory,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,84.0,0,3,WAREHOUSE NOT ONLINE
60056587,V0623042PLUS/M,Vivo Cowl Neck Knit Sweater - Plum,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,84.0,0,3,WAREHOUSE NOT ONLINE
60019521,V0623042WHIS/M,Vivo Cowl Neck Knit Sweater - White,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,84.0,0,3,WAREHOUSE NOT ONLINE
60019896,V0623042RUSS/M,Vivo Cowl Neck Knit Sweater - Rust,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,84.0,0,3,WAREHOUSE NOT ONLINE
60019523,V0623042MUSS/M,Vivo Cowl Neck Knit Sweater - Mustard,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,84.0,0,3,WAREHOUSE NOT ONLINE
60043177,V0421160RBLAM,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,81.0,0,3,WAREHOUSE NOT ONLINE
60066385,V1025034BLAM,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,69.0,0,3,WAREHOUSE NOT ONLINE
60066386,V1025034BLAL,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,67.0,0,3,WAREHOUSE NOT ONLINE
,V0126011DBRF,Vivo Ruched Maxi Top in Textured Satin - Dark Brown,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,64.0,0,3,WAREHOUSE NOT ONLINE
60043178,V0421160RBLAL,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,59.0,0,3,WAREHOUSE NOT ONLINE
50005755,V0421160NABS,Vivo Basic Leggings - Navy Blue,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,58.0,0,3,WAREHOUSE NOT ONLINE
,V0126011DOLF,Vivo Ruched Maxi Top in Textured Satin - Dark Olive,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,56.0,0,3,WAREHOUSE NOT ONLINE
40014807,V0819010REDS/M,Vivo Basic Imelda Cowl Sweater - Red,Vivo Basic Imelda Cowl Sweater,V0819010,Sweaters & Ponchos,Outerwear,3900.0,56.0,0,3,WAREHOUSE NOT ONLINE
40007724,V0819102RUSF,Vivo Basic Double Layered Wrap Poncho - Rust,Vivo Basic Double Layered Wrap Poncho,V0819102,Sweaters & Ponchos,Outerwear,5550.0,54.0,0,3,WAREHOUSE NOT ONLINE
,V0126011NAVF,Vivo Ruched Maxi Top in Textured Satin - Navy Blue,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,53.0,0,3,WAREHOUSE NOT ONLINE
,V0126011TAUF,Vivo Ruched Maxi Top in Textured Satin - Taupe,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,53.0,0,3,WAREHOUSE NOT ONLINE
,V0126011RUSF,Vivo Ruched Maxi Top in Textured Satin - Rust,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,51.0,0,3,WAREHOUSE NOT ONLINE
50008542,V0819102DREDF,Vivo Basic Double Layered Wrap Poncho - Dark Red,Vivo Basic Double Layered Wrap Poncho,V0819102,Sweaters & Ponchos,Outerwear,5550.0,51.0,0,3,WAREHOUSE NOT ONLINE
,V0126011DRDF,Vivo Ruched Maxi Top in Textured Satin - Dark Red,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,51.0,0,3,WAREHOUSE NOT ONLINE
60052606,V0225008PR3F,Vivo Ayah Hijab Headwrap - White / Orange Ullu Print,Vivo Ayah Hijab Headwrap,V0225008,Scarves,Accessories,900.0,49.0,0,3,WAREHOUSE NOT ONLINE
60019526,V0623042BLAL/XL,Vivo Cowl Neck Knit Sweater - Black,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,48.0,0,3,WAREHOUSE NOT ONLINE
60066514,S1125031RUSF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Rust,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,47.0,0,3,WAREHOUSE NOT ONLINE
60066513,S1125031LBEIF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Light Beige,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,46.0,0,3,WAREHOUSE NOT ONLINE
60066384,V1025034BLAS,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,45.0,0,3,WAREHOUSE NOT ONLINE
60066511,S1125031FUSF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Fuschia,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,45.0,0,3,WAREHOUSE NOT ONLINE
60067698,V0226036PR2M,Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,44.0,0,3,WAREHOUSE NOT ONLINE
60067699,V0226036PR2L,Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,43.0,0,3,WAREHOUSE NOT ONLINE
60067058,VS0426001,Vivo Dresses - Sample 17,Sample & Sale Items,Sample & Sale Items,Sample & Sale Items,Sale,3950.0,43.0,0,3,WAREHOUSE NOT ONLINE
60066387,V1025034BLA1X,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,43.0,0,3,WAREHOUSE NOT ONLINE
60066512,S1125031LOLIF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Light Olive,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,41.0,0,3,WAREHOUSE NOT ONLINE
60043179,V0421160RBLA1X,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,40.0,0,3,WAREHOUSE NOT ONLINE
60062127,S1125031MUSF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Mustard,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,36.0,0,3,WAREHOUSE NOT ONLINE
60043803,V0623042IVOL/XL,Vivo Cowl Neck Knit Sweater - Ivory,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,36.0,0,3,WAREHOUSE NOT ONLINE
60056588,V0623042PLUL/1X,Vivo Cowl Neck Knit Sweater - Plum,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,36.0,0,3,WAREHOUSE NOT ONLINE
60019522,V0623042WHIL/XL,Vivo Cowl Neck Knit Sweater - White,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,36.0,0,3,WAREHOUSE NOT ONLINE
60019897,V0623042RUSL/XL,Vivo Cowl Neck Knit Sweater - Rust,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,36.0,0,3,WAREHOUSE NOT ONLINE
60027747,V0722064CBROS/M,Vivo Long Sleeve Midi Waterfall - Chocolate Brown,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,36.0,0,3,WAREHOUSE NOT ONLINE
60019524,V0623042MUSL/XL,Vivo Cowl Neck Knit Sweater - Mustard,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,36.0,0,3,WAREHOUSE NOT ONLINE
40007723,V0819102MUSF,Vivo Basic Double Layered Wrap Poncho - Mustard,Vivo Basic Double Layered Wrap Poncho,V0819102,Sweaters & Ponchos,Outerwear,5550.0,34.0,0,3,WAREHOUSE NOT ONLINE
60067149,VS0426003,Vivo Bottoms - Sample 12,Sample & Sale Items,Sample & Sale Items,Sample & Sale Items,Sale,3950.0,32.0,0,3,WAREHOUSE NOT ONLINE
60067073,VS0426002,Vivo Tops - Sample 9,Sample & Sale Items,Sample & Sale Items,Sample & Sale Items,Sale,2750.0,32.0,0,3,WAREHOUSE NOT ONLINE
60068188,V0526012MARS/M,Vivo Dolman Sweater in Rib - Maroon,Vivo Dolman Sweater in Rib,V0526012,Sweaters & Ponchos,Outerwear,3900.0,32.0,0,3,WAREHOUSE NOT ONLINE
60067166,VS0426004,Vivo Outerwears - Sample 13,Sample & Sale Items,Sample & Sale Items,Sample & Sale Items,Sale,5250.0,31.0,0,3,WAREHOUSE NOT ONLINE
60067700,V0226036PR21X,Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,31.0,0,3,WAREHOUSE NOT ONLINE
60067967,V0426025PR1L,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Rust / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,30.0,0,3,WAREHOUSE NOT ONLINE
60067697,V0226036PR2S,Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,30.0,0,3,WAREHOUSE NOT ONLINE
60027748,V0722064CBROL/XL,Vivo Long Sleeve Midi Waterfall - Chocolate Brown,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,28.0,0,3,WAREHOUSE NOT ONLINE
60067982,V0426025PR4L,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Fuschia / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,28.0,0,3,WAREHOUSE NOT ONLINE
60068184,V0526012TANS/M,Vivo Dolman Sweater in Rib - Tan,Vivo Dolman Sweater in Rib,V0526012,Sweaters & Ponchos,Outerwear,3900.0,28.0,0,3,WAREHOUSE NOT ONLINE
60065171,V0226008DREDF,Vivo Multiway Poncho in Sweater - Dark Red,Vivo Multiway Poncho in Sweater,V0226008,Sweaters & Ponchos,Outerwear,4500.0,28.0,0,3,WAREHOUSE NOT ONLINE
60067966,V0426025PR1M,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Rust / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,28.0,0,3,WAREHOUSE NOT ONLINE
60066887,V0226042MUSF,Vivo Tie Kimono in Sweater - Mustard,Vivo Tie Kimono in Sweater,V0226042,Sweaters & Ponchos,Outerwear,3200.0,26.0,0,3,WAREHOUSE NOT ONLINE
60006965,V0722064MUSS/M,Vivo Long Sleeve Midi Waterfall - Mustard,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,26.0,0,3,WAREHOUSE NOT ONLINE
60008135,V0722064DREDS/M,Vivo Long Sleeve Midi Waterfall - Dark Red,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,26.0,0,3,WAREHOUSE NOT ONLINE
60067977,V0426025PR3L,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Lime / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,25.0,0,3,WAREHOUSE NOT ONLINE
40013389,V0819036BLAS,Vivo Basic Bodycon Dress in Rayon - Black,Vivo Basic Bodycon,V0819036,Knee Length Dresses,Dresses,3900.0,25.0,0,3,WAREHOUSE NOT ONLINE
60067972,V0426025PR2L,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Off White / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,25.0,0,3,WAREHOUSE NOT ONLINE
60067981,V0426025PR4M,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Fuschia / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,25.0,0,3,WAREHOUSE NOT ONLINE
60067622,V0426035DBRWNL,Vivo Izzy Bishop Sleeve Top in Textured Satin - Dark Brown,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,24.0,0,3,WAREHOUSE NOT ONLINE
60067611,V0426035OGRNM,Vivo Izzy Bishop Sleeve Top in Textured Satin - Olive Green,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,24.0,0,3,WAREHOUSE NOT ONLINE
60067617,V0426035RUSL,Vivo Izzy Bishop Sleeve Top in Textured Satin - Rust,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,24.0,0,3,WAREHOUSE NOT ONLINE
60062380,V1025016PR5F,Vivo Liora Multiway Top in Satin - Olive Textured Print,Vivo Liora Multiway Top in Satin,V1025016,Loose Tops,Tops,3200.0,24.0,0,3,WAREHOUSE NOT ONLINE
60067694,V0226036PR1L,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Light Blue / Navy Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,24.0,0,3,WAREHOUSE NOT ONLINE
60067616,V0426035RUSM,Vivo Izzy Bishop Sleeve Top in Textured Satin - Rust,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,24.0,0,3,WAREHOUSE NOT ONLINE
60067627,V0426035MUSL,Vivo Izzy Bishop Sleeve Top in Textured Satin - Mustard,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,24.0,0,3,WAREHOUSE NOT ONLINE
60067971,V0426025PR2M,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Off White / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,24.0,0,3,WAREHOUSE NOT ONLINE
60052543,V0220059BLAS-V2,Vivo Basic Leisure Pants in Ponte - Black,Vivo Basic Leisure Pants,V0220059,Full Length Pants,Bottoms,3900.0,23.0,0,3,WAREHOUSE NOT ONLINE
60008136,V0722064DREDL/XL,Vivo Long Sleeve Midi Waterfall - Dark Red,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,23.0,0,3,WAREHOUSE NOT ONLINE
60067632,V0426035LTAUL,Vivo Izzy Bishop Sleeve Top in Textured Satin - Light Taupe,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,23.0,0,3,WAREHOUSE NOT ONLINE
60067621,V0426035DBRWNM,Vivo Izzy Bishop Sleeve Top in Textured Satin - Dark Brown,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,23.0,0,3,WAREHOUSE NOT ONLINE
60067612,V0426035OGRNL,Vivo Izzy Bishop Sleeve Top in Textured Satin - Olive Green,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,22.0,0,3,WAREHOUSE NOT ONLINE
60067631,V0426035LTAUM,Vivo Izzy Bishop Sleeve Top in Textured Satin - Light Taupe,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,22.0,0,3,WAREHOUSE NOT ONLINE
60067693,V0226036PR1M,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Light Blue / Navy Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,22.0,0,3,WAREHOUSE NOT ONLINE
60067976,V0426025PR3M,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Lime / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,22.0,0,3,WAREHOUSE NOT ONLINE
60066388,V1025034BLA2X,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,22.0,0,3,WAREHOUSE NOT ONLINE
40013390,V0819036BLAM,Vivo Basic Bodycon Dress in Rayon - Black,Vivo Basic Bodycon,V0819036,Knee Length Dresses,Dresses,3900.0,22.0,0,3,WAREHOUSE NOT ONLINE
40014808,V0819010REDL/XL,Vivo Basic Imelda Cowl Sweater - Red,Vivo Basic Imelda Cowl Sweater,V0819010,Sweaters & Ponchos,Outerwear,3900.0,21.0,0,3,WAREHOUSE NOT ONLINE
60066391,V1025034HUNL,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Hunters,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,21.0,0,3,WAREHOUSE NOT ONLINE
40013392,V0819036BLAL,Vivo Basic Bodycon Dress in Rayon - Black,Vivo Basic Bodycon,V0819036,Knee Length Dresses,Dresses,3900.0,21.0,0,3,WAREHOUSE NOT ONLINE
60067703,V0226036BLAM,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Black,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,21.0,0,3,WAREHOUSE NOT ONLINE
60067704,V0226036BLAL,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Black,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,20.0,0,3,WAREHOUSE NOT ONLINE
60067983,V0426025PR41X,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Fuschia / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,20.0,0,3,WAREHOUSE NOT ONLINE
60067626,V0426035MUSM,Vivo Izzy Bishop Sleeve Top in Textured Satin - Mustard,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,20.0,0,3,WAREHOUSE NOT ONLINE
60066390,V1025034HUNM,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Hunters,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,19.0,0,3,WAREHOUSE NOT ONLINE
60067968,V0426025PR11X,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Rust / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,19.0,0,3,WAREHOUSE NOT ONLINE
60067965,V0426025PR1S,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Rust / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,19.0,0,3,WAREHOUSE NOT ONLINE
60060851,V0925030ORAM,Vivo Anavi Runched Tank Top - Orange,Vivo Anavi Runched Tank Top,V0925030,T-shirts & Tank Tops,Tops,2500.0,19.0,0,3,WAREHOUSE NOT ONLINE
60067980,V0426025PR4S,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Fuschia / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,19.0,0,3,WAREHOUSE NOT ONLINE
60067973,V0426025PR21X,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Off White / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,18.0,0,3,WAREHOUSE NOT ONLINE
60066396,V1025034WHIL,Vivo Lulu Contrast Stitch Tent Dress in Cotton - White,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,18.0,0,3,WAREHOUSE NOT ONLINE
60003390,V0422070BLAXL,Vivo Basic Cap Sleeve Bodycon in Rayon - Black,Vivo Basic Cap Sleeve Bodycon in Rayon,V0422070,Knee Length Dresses,Dresses,3900.0,18.0,0,3,WAREHOUSE NOT ONLINE
60006970,V0722064BLAL/XL,Vivo Long Sleeve Midi Waterfall - Black,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,18.0,0,3,WAREHOUSE NOT ONLINE
60067978,V0426025PR31X,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Lime / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,18.0,0,3,WAREHOUSE NOT ONLINE
60006966,V0722064MUSL/XL,Vivo Long Sleeve Midi Waterfall - Mustard,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,18.0,0,3,WAREHOUSE NOT ONLINE
60067709,V0226036HUNL,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Hunters,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,18.0,0,3,WAREHOUSE NOT ONLINE
60067975,V0426025PR3S,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Lime / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,17.0,0,3,WAREHOUSE NOT ONLINE
40001500,V0819003BLAS,Vivo Basic Panelled Leisure Pants in Ponte - Black,Vivo Basic Panelled Leisure Pants,V0819003,Full Length Pants,Bottoms,4500.0,17.0,0,3,WAREHOUSE NOT ONLINE
60066395,V1025034WHIM,Vivo Lulu Contrast Stitch Tent Dress in Cotton - White,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,17.0,0,3,WAREHOUSE NOT ONLINE
60006969,V0722064BLAS/M,Vivo Long Sleeve Midi Waterfall - Black,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,16.0,0,3,WAREHOUSE NOT ONLINE
60067708,V0226036HUNM,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Hunters,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,16.0,0,3,WAREHOUSE NOT ONLINE
60067695,V0226036PR11X,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Light Blue / Navy Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,16.0,0,3,WAREHOUSE NOT ONLINE
60067613,V0426035OGRN1X,Vivo Izzy Bishop Sleeve Top in Textured Satin - Olive Green,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,16.0,0,3,WAREHOUSE NOT ONLINE
60067618,V0426035RUS1X,Vivo Izzy Bishop Sleeve Top in Textured Satin - Rust,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,16.0,0,3,WAREHOUSE NOT ONLINE
60067620,V0426035DBRWNS,Vivo Izzy Bishop Sleeve Top in Textured Satin - Dark Brown,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,16.0,0,3,WAREHOUSE NOT ONLINE
60043156,V0819120JBLAS,Vivo Basic Sienna Waterfall In Jersey- Black - Black,Vivo Basic Sienna Waterfall,V0819120,Waterfalls & Kimonos,Outerwear,3500.0,16.0,0,3,WAREHOUSE NOT ONLINE
60067701,V0226036PR22X,Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,15.0,0,3,WAREHOUSE NOT ONLINE
60067837,V0426003DGRNL,Vivo Extended Sleeve Maxi Dress in Jersey - Dark Green,Vivo Extended Sleeve Maxi Dress in Jersey,V0426003,Maxi Dresses,Dresses,6200.0,15.0,0,3,WAREHOUSE NOT ONLINE
60067623,V0426035DBRWN1X,Vivo Izzy Bishop Sleeve Top in Textured Satin - Dark Brown,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,15.0,0,3,WAREHOUSE NOT ONLINE
60067633,V0426035LTAU1X,Vivo Izzy Bishop Sleeve Top in Textured Satin - Light Taupe,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,15.0,0,3,WAREHOUSE NOT ONLINE
60067628,V0426035MUS1X,Vivo Izzy Bishop Sleeve Top in Textured Satin - Mustard,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,15.0,0,3,WAREHOUSE NOT ONLINE
60067625,V0426035MUSS,Vivo Izzy Bishop Sleeve Top in Textured Satin - Mustard,Vivo Izzy Bishop Sleeve Top in Textured Satin,V0426035,Fitted Tops,Tops,3900.0,15.0,0,3,WAREHOUSE NOT ONLINE
60065040,V0126014LGRM,Vivo Studio Shoulder Tie Top in Jersey - Lime Green,Vivo Studio Shoulder Tie Top in Jersey,V0126014,Fitted Tops,Tops,3200.0,15.0,0,3,WAREHOUSE NOT ONLINE
60067692,V0226036PR1S,Vivo Sierra Sleeveless Double Layered Top in Chiffon - Light Blue / Navy Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,15.0,0,3,WAREHOUSE NOT ONLINE
60067970,V0426025PR2S,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe - Off White / Black Talo Print,Vivo Pendo 3/4 Sleeve A Line Dress in Crepe,V0426025,Knee Length Dresses,Dresses,5900.0,14.0,0,3,WAREHOUSE NOT ONLINE
60066087,V1025037BLA2X,Vivo Spaghetti Tank Top in Jersey - Black,Vivo Spaghetti Tank Top in Jersey,V1025037,T-shirts & Tank Tops,Tops,1500.0,14.0,0,3,WAREHOUSE NOT ONLINE
