barcode,sku,product_name,style_name,style_number,product_type,category,price,warehouse_available,online_available,suggested_online_alloc,flag
60067410,V0526008DMUSL,Vivo Sleeveless Godet Midi Dress in Jersey - Dark Mustard,Vivo Sleeveless Godet Midi Dress in Jersey,V0526008,Midi & Capri Dresses,Dresses,5200.0,2.0,3,0,""
60044515,S0824028RUS1X,Safari Njano Men's Easy Fit Pants - Rust,Safari Njano Men's Easy Fit Pants,S0824028,Full Length Pants,Bottoms,2050.0,2.0,1,0,""
60062134,S1125031ORAF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Orange,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,2.0,1,0,""
60067243,S0326005NAV2X,Safari by Vivo Godet Contrast Stitch Midi Skirt in Denim - Navy,Safari by Vivo Godet Contrast Stitch Midi Skirt in Denim,S0326005,Midi & Capri Skirts,Skirts,5800.0,2.0,1,0,""
60049432,S0223031PR6F,Safari Kitenge Side Frill Kaftan - Keri,Safari Nimali Side Frill Kaftan,S0223031,Loose Tops,Tops,2650.0,2.0,1,0,""
60059301,V0824086GLDS,Vivo Chidii Wide Leg Pants - Gold,Vivo Chidii Wide Leg Pants,V0824086,Full Length Pants,Bottoms,4900.0,2.0,1,0,""
60067418,V0526008DTEAS,Vivo Sleeveless Godet Midi Dress in Jersey - Dark  Teal,Vivo Sleeveless Godet Midi Dress in Jersey,V0526008,Midi & Capri Dresses,Dresses,5200.0,2.0,2,0,""
60062115,V0925026PR2S,Vivo Liora Shorts - Cream / Coral Ziza Print,Vivo Liora Shorts,V0925026,Shorts & Skorts,Bottoms,2500.0,2.0,1,0,""
60062111,V0925026PR1M,Vivo Liora Shorts - Red / Black Ziza Print,Vivo Liora Shorts,V0925026,Shorts & Skorts,Bottoms,2500.0,2.0,3,0,""
,V0126032DGRXS,Vivo Studio Maxi Bodycon in Jersey - Dark Green,Vivo Studio Maxi Bodycon in Jersey,V0126032,Maxi Dresses,Dresses,0.0,2.0,2,0,""
,V0325007FUSS,Vivo Safa Skirt - Fuschia - PINK / V0325007 / S,Vivo Safa Skirt,V0325007,Knee Length Skirts,Skirts,0.0,2.0,5,0,""
60037323,S0424081DAGM/L,Safari Lounge Pants In Jersey - Dark Green,Safari Lounge Pants,S0424081,Full Length Pants,Bottoms,4800.0,2.0,7,0,""
60066435,V0925019OFW1X,Vivo Sierra Long Sleeve Top in Chiffon (Double Layered) - Off White,Vivo Sierra Long Sleeve Top in Chiffon (Double Layered),V0925019,Fitted Tops,Tops,3700.0,2.0,1,0,""
40016078,V0719112WHIM,Vivo Basic Long Sleeved Bodysuit in Jersey - White,Vivo Basic Long Sleeved Bodysuit,V0719112,Bodysuits,Tops,2900.0,2.0,1,0,""
