Order Ref,Order ID,Gross Total,Discount,Returns,Net Total (net of discount+returns)
Junction/1711,27333,2900,0,0,2900
Junction/1712,27379,9400,0,0,9400
Junction/1713,27388,5550,0,0,5550
Junction/1714,27412,5500,0,0,5500
Junction/1715,27420,5550,0,0,5550
Junction/1716,27425,19800,0,0,19800
Junction/1717,27461,20500,0,0,20500
Junction/1718,27471,2500,0,0,2500
Junction/1719,27494,10400,0,0,10400
Junction/1720,27505,4950,0,0,4950
Junction/1721,27509,13300,0,0,13300
Junction/1722,27526,15600,0,0,15600
Junction/1723,27554,5800,0,0,5800
Junction/1724,27556,73000,2035,0,70965
Junction/1725,27590,4200,0,0,4200
Junction/1726,27602,22100,0,0,22100
Junction/1727,27627,5500,0,0,5500
Junction/1728,27652,9000,0,0,9000
Junction/1729,27678,3315,0,0,3315
Junction/1730,27703,3500,0,0,3500
Junction/1731,27726,5500,0,0,5500
Junction/1732,27727,5000,0,0,5000
Junction/1733,27730,10500,0,0,10500
Junction/1734,27739,8400,0,0,8400
Junction/1741,27789,4000,0,0,4000
Junction/1742,27795,24200,0,0,24200
Junction/1743,27796,11300,0,0,11300
Junction/1744,27815,3800,0,0,3800
Junction/1745,27821,16650,0,0,16650
Junction/1746,27828,3500,0,0,3500
Junction/1747,27829,3900,0,0,3900
Junction/1748,27830,12200,0,0,12200
Junction/1749,27837,10600,0,0,10600
Junction/1750,27869,6800,0,0,6800
Junction/1751,27875,11450,0,0,11450
Junction/1751 REFUND,27892,0,0,5900,-5900
Junction/1752,27881,12000,0,0,12000
Junction/1753,27883,5900,0,0,5900
Junction/1754,27893,5900,0,0,5900
Junction/1755,27894,4950,0,0,4950
Junction/1756,27895,4500,0,0,4500
Junction/1757,27897,15600,0,0,15600
Junction/1758,27916,4500,0,0,4500
Junction/1759,27917,5500,0,0,5500
Junction/1760,27933,7400,0,0,7400
Junction/1761,27938,6500,0,0,6500
Junction/1762,27950,5500,0,0,5500
Junction/1763,27983,58200,0,0,58200
Junction/1764,27991,15300,0,0,15300
Junction/1765,28009,16100,0,0,16100
Junction/1766,28016,17800,0,0,17800
Junction/1767,28020,6900,0,0,6900
Junction/1768,28032,8700,0,0,8700
Junction/1769,28049,21900,0,0,21900
Junction/1770,28073,16400,0,0,16400
Junction/1771,28076,7400,0,0,7400
Junction/1772,28085,4900,0,0,4900
Junction/1773,28114,6900,0,0,6900
Junction/1774,28120,8800,0,0,8800
Junction/1775,28134,15600,0,0,15600
Junction/1777,28164,4950,0,0,4950
Junction/1778,28171,2500,0,0,2500
Junction/1779,28174,6000,0,0,6000
Junction/1780,28183,6700,0,0,6700
Junction/1781,28187,7500,0,0,7500
Junction/1782,28198,6900,0,0,6900
Junction/1783,28219,7000,0,0,7000
Junction/1784,28246,11500,0,0,11500
Junction/1785,28250,16600,0,0,16600
Junction/1786,28251,39600,0,0,39600
Junction/1787,28259,3500,0,0,3500
Junction/1788,28268,22400,0,0,22400
Junction/1789,28270,2900,0,0,2900
Junction/1790,28300,8450,0,0,8450
Junction/1791,28302,2200,0,0,2200
Junction/1792,28313,4950,0,0,4950
Junction/1793,28319,48000,0,0,48000
Junction/1794,28320,5900,0,0,5900
Junction/1795,28329,4500,0,0,4500
Junction/1796,28346,3500,0,0,3500
Junction/1797,28353,6900,0,0,6900
Junction/1798,28356,35300,0,0,35300
Junction/1800,28382,5550,0,0,5550
Junction/1801,28410,5000,0,0,5000
Junction/1802,28411,2500,0,0,2500
Junction/1803,28428,3900,0,0,3900
Junction/1804,28445,8000,0,0,8000
Junction/1805,28471,6700,0,0,6700
Junction/1806,28477,15600,0,0,15600
Junction/1807,28479,25300,0,0,25300
Junction/1808,28482,3900,0,0,3900
Junction/1809,28507,1500,0,0,1500
Junction/1810,28523,16400,0,0,16400
Junction/1811,28527,11700,0,0,11700
Junction/1812,28576,11400,0,0,11400
Junction/1813,28589,1200,0,0,1200
Junction/1814,28605,8800,0,0,8800
Junction/1815,28606,6400,0,0,6400
Junction/1816,28607,3500,0,0,3500
Junction/1817,28646,9000,0,0,9000
Junction/1818,28650,4500,0,0,4500
Junction/1819,28659,6500,0,0,6500
Junction/1820,28697,18600,0,0,18600
Junction/1821,28726,15200,0,0,15200
Junction/1822,28732,9700,0,0,9700
Junction/1823,28739,3900,0,0,3900
Junction/1824,28741,6500,0,0,6500
Junction/1825,28761,11800,0,0,11800
Junction/1826,28768,24950,0,0,24950
Junction/1827,28821,27700,0,0,27700
Junction/1828,28822,6900,0,0,6900
Junction/1829,28827,5900,0,0,5900
Junction/1830,28829,25500,0,0,25500
Junction/1831,28878,6500,0,0,6500
Junction/1832,28884,13700,0,0,13700
Junction/1833,28897,14500,0,0,14500
Junction/1834,28922,4500,0,0,4500
Junction/1835,28928,6800,0,0,6800
Junction/1837,28930,6400,0,0,6400
Junction/1838,28933,19600,0,0,19600
Junction/1839,28935,15000,0,0,15000
Junction/1840,28939,14700,0,0,14700
Junction/1841,28941,12700,0,0,12700
Junction/1842,28954,19000,0,0,19000
Junction/1843,28961,3900,0,0,3900
Junction/1844,28969,4500,0,0,4500
Junction/1845,28976,13900,0,0,13900
Junction/1847,29046,6800,0,0,6800
Junction/1848,29068,3900,0,0,3900
Junction/1849,29080,3900,0,0,3900
Junction/1850,29087,8400,0,0,8400
Junction/1851,29094,11800,0,0,11800
Junction/1852,29112,5900,0,0,5900
Junction/1853,29127,5500,0,0,5500
Junction/1854,29153,5400,0,0,5400
Junction/1855,29159,4900,0,0,4900
Junction/1856,29198,31000,0,0,31000
Junction/1857,29204,21900,0,0,21900
Junction/1858,29207,3500,0,0,3500
Junction/1859,29215,3200,0,0,3200
Junction/1860,29216,5800,0,0,5800
Junction/1861,29246,2900,0,0,2900
Junction/1862,29272,24400,0,0,24400
Junction/1863,29281,3500,0,0,3500
Junction/1864,29289,8400,0,0,8400
Junction/1865,29295,11900,0,0,11900
Junction/1866,29330,6500,0,0,6500
Junction/1867,29338,6800,0,0,6800
Junction/1868,29351,6400,0,0,6400
Junction/1869,29364,5900,0,0,5900
Junction/1870,29372,12000,0,0,12000
Junction/1871,29375,4500,0,0,4500
Junction/1872,29379,4200,0,0,4200
Junction/1873,29387,16900,0,0,16900
Junction/1874,29398,4700,0,0,4700
Junction/1875,29401,3900,0,0,3900
Junction/1876,29421,6500,0,0,6500
Junction/1877,29425,6500,0,0,6500
Junction/1878,29426,12800,0,0,12800
Junction/1879,29433,3900,0,0,3900
Junction/1880,29434,3900,0,0,3900
Junction/1881,29436,9000,0,0,9000
Junction/1882,29443,16400,0,0,16400
Junction/1883,29457,21600,0,0,21600
Junction/1884,29468,29800,0,0,29800
Junction/1885,29480,23600,0,0,23600
Junction/1886,29532,3500,0,0,3500
Junction/1887,29374,14900,0,0,14900
Junction/1888,29556,27200,0,0,27200
Junction/1889,29566,4950,0,0,4950
Junction/1890,29573,5800,0,0,5800
Junction/1891,29575,10400,0,0,10400
Junction/1892,29583,5550,0,0,5550
Junction/1893,29585,20300,0,0,20300
Junction/1894,29586,12100,0,0,12100
Junction/1895,29587,8300,0,0,8300
Junction/1896,29601,6400,0,0,6400
Junction/1897,29606,4900,0,0,4900
Junction/1898,29614,5500,0,0,5500
Junction/1899,29619,10000,0,0,10000
Junction/1900,29621,10000,0,0,10000
Junction/1902,29624,4500,0,0,4500
Junction/1903,29627,1500,0,0,1500
Junction/1904,29663,9300,0,0,9300
Junction/1905,29670,5900,0,0,5900
Junction/1906,29678,4500,0,0,4500
Junction/1907,29690,5800,0,0,5800
Junction/1908,29703,10000,0,0,10000
Junction/1909,29715,5000,0,0,5000
Junction/1910,29722,15800,0,0,15800
Junction/1911,29725,9800,0,0,9800
Junction/1912,29735,26800,0,0,26800
Junction/1913,29750,31000,0,0,31000
Junction/1914,29767,4900,0,0,4900
Junction/1915,29771,9100,0,0,9100
Junction/1916,29772,8800,0,0,8800
Junction/1917,29794,6200,0,0,6200
Junction/1918,29796,10350,0,0,10350
Sarit Safari/0372 REFUND,26685,0,0,8800,-8800
Sarit/1679 REFUND,20855,0,0,11400,-11400
Sarit/2344 REFUND,28474,0,0,5500,-5500
Village Market/1188 REFUND,26094,5500,0,5500,0
