Order Ref,Order ID,Gross Total,Discount,Returns,Net Total (net of discount+returns)
Junction/1168,21078,6700,0,0,6700
Junction/1169,21127,13900,0,0,13900
Junction/1170,21128,6700,0,0,6700
Junction/1171,21130,22850,0,0,22850
Junction/1172,21143,4900,0,0,4900
Junction/1173,21153,14300,0,0,14300
Junction/1174,21162,5550,0,0,5550
Junction/1175,21182,10200,0,0,10200
Junction/1176,21202,8400,0,0,8400
Junction/1177,21212,3900,0,0,3900
Junction/1178,21235,6700,0,0,6700
Junction/1179,21244,5550,0,0,5550
Junction/1180,21271,16200,0,0,16200
Junction/1181,21282,10700,0,0,10700
Junction/1182,21289,16700,0,0,16700
Junction/1183,21293,37100,0,0,37100
Junction/1184,21304,5000,0,0,5000
Junction/1185,21312,8100,0,0,8100
Junction/1186,21313,4900,0,0,4900
Junction/1187,21317,4500,0,0,4500
Junction/1188,21347,10400,0,0,10400
Junction/1189,21359,8100,0,0,8100
Junction/1190,21372,10000,0,0,10000
Junction/1191,21385,5500,0,0,5500
Junction/1192,21404,3500,0,0,3500
Junction/1193,21419,5550,0,0,5550
Junction/1194,21421,37700,0,0,37700
Junction/1195,21422,14550,0,0,14550
Junction/1196,21434,74850,0,0,74850
Junction/1197,21447,31900,0,0,31900
Junction/1198,21448,10400,0,0,10400
Junction/1199,21451,1400,0,0,1400
Junction/1200,21466,5500,0,0,5500
Junction/1201,21481,5000,0,0,5000
Junction/1202,21490,5550,0,0,5550
Junction/1203,21498,5550,0,0,5550
Junction/1204,21520,12500,0,0,12500
Junction/1205,21521,2900,0,0,2900
Junction/1206,21554,14700,0,0,14700
Junction/1207,21556,8700,0,0,8700
Junction/1208,21574,3500,0,0,3500
Junction/1209,21583,17400,0,0,17400
Junction/1210,21590,4900,0,0,4900
Junction/1211,21595,5550,0,0,5550
Junction/1212,21598,4950,0,0,4950
Junction/1213,21608,8400,0,0,8400
Junction/1214,21616,9000,0,0,9000
Junction/1215,21635,11050,0,0,11050
Junction/1216,21662,7800,0,0,7800
Junction/1217,21669,6900,0,0,6900
Junction/1218,21689,4200,0,0,4200
Junction/1219,21704,5500,0,0,5500
Junction/1220,21718,9700,0,0,9700
Junction/1221,21724,5550,0,0,5550
Junction/1222,21725,20100,0,0,20100
Junction/1223,21733,8400,0,0,8400
Junction/1224,21744,37500,0,0,37500
Junction/1225,21745,5900,0,0,5900
Junction/1226,21771,5550,0,0,5550
Junction/1227,21778,4900,0,0,4900
Junction/1228,21780,14550,0,0,14550
Junction/1229,21782,16600,0,0,16600
Junction/1230,21784,22200,0,0,22200
Junction/1231,21788,3200,0,0,3200
Junction/1232,21797,9750,0,0,9750
Junction/1233,21807,7400,0,0,7400
Junction/1234,21809,5500,0,0,5500
Junction/1235,21823,11000,0,0,11000
Junction/1236,21829,5550,0,0,5550
Junction/1237,21830,3800,0,0,3800
Junction/1238,21850,8000,0,0,8000
Junction/1239,21857,9800,0,0,9800
Junction/1240,21859,700,0,0,700
Junction/1241,21874,7000,0,0,7000
Junction/1242,21879,2500,0,0,2500
Junction/1243,21886,5550,0,0,5550
Junction/1244,21890,7400,0,0,7400
Junction/1245,21901,5900,0,0,5900
Junction/1246,21911,5500,0,0,5500
Junction/1247,21914,4500,0,0,4500
Junction/1248,21915,9150,0,0,9150
Junction/1249,21916,4950,0,0,4950
Junction/1250,21919,3500,0,0,3500
Junction/1251,21920,7400,0,0,7400
Junction/1252,21923,7400,0,0,7400
Junction/1253,21930,33100,0,0,33100
Junction/1254,21939,8500,0,0,8500
Junction/1255,21949,4900,0,0,4900
Junction/1256,21960,5900,0,0,5900
Junction/1257,21967,7400,0,0,7400
Junction/1258,21970,6800,0,0,6800
Junction/1259,21972,1200,0,0,1200
Junction/1260,21978,6900,0,0,6900
Junction/1261,21983,16500,0,0,16500
Junction/1262,22007,7000,0,0,7000
Junction/1263,22010,10800,0,0,10800
Junction/1264,22011,10400,0,0,10400
Junction/1265,22036,10400,0,0,10400
Junction/1266,22039,5500,0,0,5500
