brand,missing,product_name
"Vivo","both","Vivo Basic Crepe Cap Sleeve Top  - FS"
"Vivo","both","Vivo Basic Crepe Cap Sleeve Top  - FS"
"Vivo","both","Vivo Basic Crepe Cap Sleeve Top  - FS"
"Vivo","both","Vivo Basic Crepe Cap Sleeved Top In Crepe  - FS"
"Vivo","both","Vivo Basic Dolman Sweater  - FS"
"Vivo","both","Vivo Basic Double Layered Capri Skirt  - FS"
"Vivo","both","Vivo Basic Double Layered Wrap Poncho  - FS"
"Vivo","both","Vivo Basic Dua Jacket in Ponte  - FS"
"Vivo","both","Vivo Basic Escape A-Line Dress in Ponte  - FS"
"Vivo","both","Vivo Basic Imelda Cowl Sweater  - FS"
"Vivo","both","Vivo Basic Imelda Cowl Sweater  - FS"
"Vivo","both","Vivo Basic Kena Tent Knee Length Dress  - FS"
"Vivo","both","Vivo Basic Kena Tent Knee Length Dress in Ponte  - FS"
"Vivo","both","Vivo Basic Knee Length Dress In Chiffon  - FS"
"Vivo","both","Vivo Basic Leggings  - FS"
"Vivo","both","Vivo Basic Long Sleeved Bodysuit in Jersey  - FS"
"Vivo","both","Vivo Basic Long Sleeved Double Layered Bodycon  - FS"
"Vivo","both","Vivo Basic Long Sleeved Top - Burgundy"
"Vivo","both","Vivo Basic May Sweater  - FS"
"Vivo","both","Vivo Basic Open Kaftan  - FS"
"Vivo","both","Vivo Basic Panelled Leisure Pants  - FS"
"Vivo","both","Vivo Basic Round Neck Maxi Dress  - FS"
"Vivo","both","Vivo Basic Round Neck Maxi Dress In Crepe  - FS"
"Vivo","both","Vivo Basic Satin Bishop Sleeve Top  - FS"
"Vivo","both","Vivo Basic Satin Bishop Sleeve Top  - FS"
"Vivo","both","Vivo Basic Satin Bishop Sleeved Top  - FS"
"Vivo","both","Vivo Basic Satin Cap Sleeve Top  - FS"
"Vivo","both","Vivo Basic Short Sleeve Top  - FS"
"Vivo","both","Vivo Basic Short Sleeve Top  - FS"
"Vivo","both","Vivo Basic Short Sleeve Top in Jersey  - FS"
"Vivo","both","Vivo Basic Sienna Jersey Top  - FS"
"Vivo","both","Vivo Basic Sienna Waterfall  - FS"
"Vivo","both","Vivo Basic Sienna Waterfall In Jersey  - FS"
"Vivo","both","Vivo Basic Sienna Waterfall In Jersey - FS"
"Vivo","both","Vivo Basic Sleeveless Bodysuit in Rayon  - FS"
"Vivo","both","Vivo Basic Sleeveless Bodysuit in Rayon  - FS"
"Vivo","both","Vivo Basic Sleeveless Kena Tent Dress In Ponte  - FS"
"Vivo","both","Vivo Basic Sleeveless Kena Tent Maxi Dress in Ponte  - FS"
"Vivo","both","Vivo Basic Sleeveless Tent Dress  - FS"
"Vivo","both","Vivo Basic Sleeveless Tent Dress  - FS"
"Vivo","both","Vivo Basic Sleeveless Tent Dress in Crepe  - FS"
"Vivo","both","Vivo Basic Tank Top in Jersey  - FS"
"Vivo","both","Vivo Basic Trench Coat  - FS"
"Vivo","both","Vivo Basic V-neck Cap Sleeve Top  - FS"
"Vivo","both","Vivo Basic Val Long Sleeve Top  - FS"
"Vivo","both","Vivo Basic Val Long Sleeve Top  - FS"
"Vivo","both","Vivo Basic Waridi Pencil Skirt  - FS"
"Vivo","both","Vivo Belts FS 1"
