Product Name,Color,Location,Country,Units Available
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo City Mall,Kenya,4
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo Greenspan,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo Runda,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Finished Goods Production,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo Capital Centre,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo MSA Digo Road,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo Meru,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo Nakuru,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo Two Rivers,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Vivo Village Market,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,Warehouse Finished Goods,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Teal,Teal,Vivo Acacia,Uganda,2
Vivo Basic Double Layered Wrap Poncho - Teal,Teal,Vivo Kileleshwa,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Teal,Teal,Vivo TRM,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Teal,Teal,The Oasis Mall,Uganda,1

--- SUMMARY BY COLOR ---
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,,,70
Vivo Basic Double Layered Wrap Poncho - Rust,Rust,,,55
Vivo Basic Double Layered Wrap Poncho - Mustard,Mustard,,,51
Vivo Basic Double Layered Wrap Poncho - Black,Black,,,29
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,,,28
Vivo Basic Double Layered Wrap Poncho - Light Navy Blue,Light Navy Blue,,,17
Vivo Double Layered Wrap Poncho - Pink - PINK / 0819102 / F,Pink,,,14
Vivo Basic Double Layered Wrap Poncho - Off White - OFF WHITE / V0819102 / F,Off White,,,12
Vivo Basic Double Layered Wrap Poncho - Dark Green,Dark Green,,,8
Vivo Basic Double Layered Wrap Poncho - Teal,Teal,,,5
Vivo Basic Double Layered Wrap Poncho - Ivory,Ivory,,,2

GRAND TOTAL,,,,291
