sku,product_name,style_name,style_number,brand,product_type,price,price_source,retired_qty
V0825014CHOS,Vivo Nora Front Pleat Knee Length Dress - Chocolate - BROWN / V0825014 / S,Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo,Knee Length Dresses,2250,odoo,1
V0825014DREL,Vivo Nora Front Pleat Knee Length Dress - Dark Red,Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo,Knee Length Dresses,2250,catalog,1
V0825014DRES,Vivo Nora Front Pleat Knee Length Dress - Dark Red,Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo,Knee Length Dresses,2250,catalog,1
V0724107PR5S,Vivo Paji Boat Neck Sheath Dress - Navy Dotted,Vivo Paji Boat Neck Sheath Dress,V0724107,Vivo,Knee Length Dresses,4250,catalog,1
V0824034NVY1X,Vivo Paji Dress Coat - Navy - NAVY / V0824034 / 1X,Vivo Paji Dress Coat,V0824034,Vivo,Jackets & Coats,750,odoo,1
V0922015LIMSL,Vivo Pesi Basic Long Sleeve Shirt - Lime Stripes,Vivo Pesi Basic Long Sleeve Shirt,V0922015,Vivo,Fitted Tops,1950,catalog,1
V0921084BLAL,Vivo Ponte Back Pleat Maxi Dress - Black - BLACK / V0921084 / L,Vivo Ponte Back Pleat Maxi Dress,V0921084,Vivo,Maxi Dresses,3850,odoo,1
V0921084BLAS,Vivo Ponte Back Pleat Maxi Dress - Black - BLACK / V0921084 / S,Vivo Ponte Back Pleat Maxi Dress,V0921084,Vivo,Maxi Dresses,3850,odoo,1
V0224221PR4S,Vivo Reba Gathered Dress - Green / Mustard Eba Print - PRINT / V0224221 / S,Vivo Reba Gathered Dress,V0224221,Vivo,Knee Length Dresses,1150,odoo,1
V0224221PR5L,Vivo Reba Gathered Dress - Red / Navy Eba Print - Red / Navy Eba Print / V0224221 / L,Vivo Reba Gathered Dress,V0224221,Vivo,Knee Length Dresses,2350,odoo,1
V0425007RBLUS,Vivo Rema High Low Maxi Dress - Royal Blue,Vivo Rema High Low Maxi Dress,V0425007,Vivo,Midi & Capri Dresses,2750,odoo,1
V0425003DTAUXS/S,Vivo Rema Waterfall - Dark Taupe - DARK TAUPE / V0425003 / XS/S,Vivo Rema Waterfall,V0425003,Vivo,Waterfalls & Kimonos,3900,odoo,1
V0825022DMU1X,Vivo Ria Drop Shoulder Top - Dark Mustard,Vivo Ria Drop Shoulder Top,V0825022,Vivo,T-shirts & Tank Tops,2500,catalog,1
V0825022DMUS,Vivo Ria Drop Shoulder Top - Dark Mustard - MUSTARD / V0825022 / S,Vivo Ria Drop Shoulder Top,V0825022,Vivo,Loose Tops,2500,odoo,1
V0825022DOLS,Vivo Ria Drop Shoulder Top - Dark Olive - GREEN / V0825022 / S,Vivo Ria Drop Shoulder Top,V0825022,Vivo,Loose Tops,2500,odoo,1
V0825022TEA1X,Vivo Ria Drop Shoulder Top - Teal - TEAL / V0825022 / 1X,Vivo Ria Drop Shoulder Top,V0825022,Vivo,Loose Tops,1750,odoo,1
V0725045FUSM,Vivo Ria Mock Neck Top - Fuschia - PINK / V0725045 / M,Vivo Ria Mock Neck Top,V0725045,Vivo,Loose Tops,1750,odoo,1
V0325010BLCKSM,Vivo Safa Drawstring Wide Top - Black - BLACK / V0325010 / S/M,Vivo Safa Drawstring Wide Top,V0325010,Vivo,Accessories,2950,odoo,1
V0325070MUSTM,Vivo Safa Pallazo Pants - Mustard - MUSTARD / V0325070 / M,Vivo Safa Pallazo Pants,V0325070,Vivo,Full Length Pants,950,odoo,1
V0325007CHOS,Vivo Safa Skirt - Chocolate,Vivo Safa Skirt,V0325007,Vivo,Midi & Capri Skirts,2050,catalog,1
V0325007TAU1X,Vivo Safa Skirt - Taupe - TAUPE / V0325007 / 1X,Vivo Safa Skirt,V0325007,Vivo,Knee Length Skirts,2950,odoo,1
V0325071MUSS,Vivo Safa Slit Side Top - Mustard - MUSTARD / V0325071 / S,Vivo Safa Slit Side Top,V0325071,Vivo,Loose Tops,3550,odoo,1
V0424027NAVXS,Vivo Saida Cigarrets Pants - Navy,Vivo Saida Cigarrets Pants,V0424027,Vivo,Full Length Pants,750,odoo,1
V0525043PR3S/M,Vivo Samira Maxi Kimono - Dark Navy / Gold Print - DARK NAVY / GOLD PRINT / V0525043 / S/M,Vivo Samira Maxi Kimono,V0525043,Vivo,Waterfalls & Kimonos,5900,odoo,1
V1123144PR101X/2X,Vivo Sanali Off - Shoulder Maxi Dress - Mustard / Black Lifi Print - MUSTARD / BLACK LIFI PRINT / V1123144 / 1X/2X,Vivo Sanali Off,V1123144,Vivo,Maxi Dresses,4150,odoo,1
V1023086PURL,Vivo Sanyu Pleated Pants - Purple,Vivo Sanyu Pleated Pants,V1023086,Vivo,Full Length Pants,1350,catalog,1
V0424161PR6F,Vivo Sarong Skirt - Burgundy / Tan Print,Vivo Sarong Skirt,V0424161,Vivo,Midi & Capri Skirts,1550,catalog,1
V0525054BUT1X,Vivo Selah Midi Skirt - Buttermilk - BUTTERMILK / V0525054 / 1X,Vivo Selah Midi Skirt,V0525054,Vivo,Knee Length Skirts,2900,odoo,1
V1124111BLAXS,Vivo Seli Maxi Skirt - Black - BLACK / V1124111 / XS,Vivo Seli Maxi Skirt,V1124111,Vivo,Maxi Dresses,2950,odoo,1
V0924101PR31X/2X,Vivo Serwa Square Neck Maxi Dress - Pink / Navy Sera Print,Vivo Serwa Square Neck Maxi Dress,V0924101,Vivo,Maxi Dresses,2750,catalog,1
V0924099PR2S,Vivo Serwa Tiered Maxi Skirt - Blue / Black Wera Print,Vivo Serwa Tiered Maxi Skirt,V0924099,Vivo,Maxi Skirts,2450,catalog,1
VE0034KIDXS,Vivo Shorts - Kidal,Vivo Shorts,VE0034K,Vivo,Shorts & Skorts,2450,odoo,1
VE0034MOAXS,Vivo Shorts - Moabi,Vivo Shorts,VE0034M,Vivo,Shorts & Skorts,2450,odoo,1
V0121031PR17S,Vivo Sierra Bishop Sleeve Top - Brown / Yellow Lika Print,Vivo Sierra Bishop Sleeve Top,V0121031,Vivo,Loose Tops,1350,catalog,1
V0324063TEAL/1X,Vivo Sleeveless Side  Slit Midi  Waterfall - Teal - TEAL / V0324063 / L/XL,Vivo Sleeveless Side  Slit Midi  Waterfall,V0324063,Vivo,Waterfalls & Kimonos,5250,odoo,1
V0424156PR33X,Vivo Solei Shorts(without lining) - Grey / Black Print - PRINT / V0424156 / 3X,Vivo Solei Shorts(without lining),V0424156,Vivo,Shorts & Skorts,3450,odoo,1
V0424156PR34X,Vivo Solei Shorts(without lining) - Grey / Black Print - PRINT / V0424156 / 4X,Vivo Solei Shorts(without lining),V0424156,Vivo,Shorts & Skorts,3450,odoo,1
V0424156PR43X,Vivo Solei Shorts(without lining) - Black / White Print - WHITE / BLACK PRINT / V0424156 / 3X,Vivo Solei Shorts(without lining),V0424156,Vivo,Shorts & Skorts,3450,odoo,1
V0424156PR4XS,Vivo Solei Shorts(without lining) - Black / White Print - WHITE / BLACK PRINT / V0424156 / XS,Vivo Solei Shorts(without lining),V0424156,Vivo,Shorts & Skorts,3450,odoo,1
V0723079PR5XS/S,Vivo Soleil Handkerchief Drape Wide Top - Peach / Navy - PEACH / NAVY  PRINT / V0723079 / XS/S,Vivo Soleil Handkerchief Drape Wide Top,V0723079,Vivo,Loose Tops,3750,odoo,1
V1225011PR11X,Vivo Studio Longline Shorts in Crepe - Maroon Stripes,Vivo Studio Longline Shorts in Crepe,V1225011,Vivo,Shorts & Skorts,3200,catalog,1
V0126014LGRM,Vivo Studio Shoulder Tie Top in Jersey - Lime Green,Vivo Studio Shoulder Tie Top in Jersey,V0126014,Vivo,Fitted Tops,3200,catalog,1
V0126014LGRS,Vivo Studio Shoulder Tie Top in Jersey - Lime Green - LIME GREEN / V0126014 / S,Vivo Studio Shoulder Tie Top in Jersey,V0126014,Vivo,Loose Tops,3200,odoo,1
V1124102DAOS,Vivo Tahisa Straight Leg Pants - Dark Olive - DARK OLIVE / V1124102 / S,Vivo Tahisa Straight Leg Pants,V1124102,Vivo,Full Length Pants,2750,odoo,1
V1124102MIDBS,Vivo Tahisa Straight Leg Pants -Midnight Blue - MIDNIGHT BLUE / V1124102 / S,Vivo Tahisa Straight Leg Pants,V1124102,Vivo,Full Length Pants,2750,odoo,1
V1124102NAVL,Vivo Tahisa Straight Leg Pants - Navy,Vivo Tahisa Straight Leg Pants,V1124102,Vivo,Full Length Pants,3950,catalog,1
V1124102NAVS,Vivo Tahisa Straight Leg Pants - Navy,Vivo Tahisa Straight Leg Pants,V1124102,Vivo,Full Length Pants,3950,catalog,1
V1124102ORAM,Vivo Tahisa Straight Leg Pants - Orange - ORANGE / V1124102 / M,Vivo Tahisa Straight Leg Pants,V1124102,Vivo,Full Length Pants,1550,odoo,1
V1125011PR2L,Vivo Talia Kimono & Shorts Set - Olive / Hunters Green Print - OLIVE / HUNTERS GREEN PRINT / V1125011 / L,Vivo Talia Kimono & Shorts Set,V1125011,Vivo,Waterfalls & Kimonos,6500,odoo,1
V0822027PR28XS/S,Vivo Tana Off Shoulder Maxi Dress - White / Purple Dana Print - WHITE / PURPLE DANA PRINT / V0822027 / XS/S,Vivo Tana Off Shoulder Maxi Dress,V0822027,Vivo,Maxi Dresses,6750,odoo,1
V1223018YELLL,Vivo Tana Puff Sleeve A-Line Dress - Yellow,Vivo Tana Puff Sleeve A-Line Dress,V1223018,Vivo,Knee Length Dresses,1750,catalog,1
V1223018YELLS,Vivo Tana Puff Sleeve A-Line Dress - Yellow,Vivo Tana Puff Sleeve A-Line Dress,V1223018,Vivo,Knee Length Dresses,1750,catalog,1
V0825002RUSXS/S,Vivo Tanda Handkerchief Drape Top - Rust - RUST / V0825002 / XS/S,Vivo Tanda Handkerchief Drape Top,V0825002,Vivo,Loose Tops,2750,odoo,1
V0124028ORAL,Vivo Tande Boat Neck Dress  - Orange - ORANGE / V0124028 / L,Vivo Tande Boat Neck Dress,V0124028,Vivo,Knee Length Dresses,3450,odoo,1
V0124084WHIS,Vivo Tande Camisole - White,Vivo Tande Camisole,V0124084,Vivo,Fitted Tops,350,odoo,1
V0724076NVRL,Vivo Tatari Cap Sleeve Sheath Dress - Navy / Rust - NAVY/ RUST / V0724076 / L,Vivo Tatari Cap Sleeve Sheath Dress,V0724076,Vivo,Knee Length Dresses,3600,odoo,1
V0424092NABM,Vivo Tatari Knee Length Coat - Navy Blue - NAVY BLUE / V0424092 / M,Vivo Tatari Knee Length Coat,V0424092,Vivo,Jackets & Coats,1550,odoo,1
V0423050RUS1X,Vivo Tatili Wide Leg Pants - Rust,Vivo Tatili Wide Leg Pants,V0423050,Vivo,Full Length Pants,4500,catalog,1
VE0028PR21X,Vivo Trench Coat - Obu - PRINT / VE0028 / 1X,Vivo Trench Coat,VE0028P,Vivo,Jackets & Coats,1650,odoo,1
V0821190BLAL,Vivo Tsavo Sleeveless Scalloped Hem Dress Top - Black,Vivo Tsavo Sleeveless Scalloped Hem Dress Top,V0821190,Vivo,Fitted Tops,1450,odoo,1
V0224148NAV/WHI2X,Vivo Vinna 3/4 Seeve A-Line Dress - Navy / White - NAVY / WHITE / V0224148 / 2X,Vivo Vinna 3/4 Seeve A-Line Dress,V0224148,Vivo,Knee Length Dresses,1550,odoo,1
V0224142WHI4X,Vivo Vinna Slit Sleeve Top - White / Black - WHITE / BLACK / V0224142 / 4X,Vivo Vinna Slit Sleeve Top,V0224142,Vivo,Loose Tops,3550,odoo,1
V1024066BLU1X,Vivo Wena High Slit Maxi Shirt - Blue - BLUE / V1024066 / 1X,Vivo Wena High Slit Maxi Shirt,V1024066,Vivo,Maxi Dresses,1250,odoo,1
V0126042DPIN2X,Vivo Wide Leg Pants in Crepe - Dark Pink,Vivo Wide Leg Pants in Crepe,V0126042,Vivo,Full Length Pants,4900,catalog,1
V0823158TAUXXS,Vivo X This Is Essential  Sleeveless Scooped Neck Bodysuit - Taupe - TAUPE / V0823158 / XXS,Vivo X This Is Essential  Sleeveless Scooped Neck Bodysuit,V0823158,Vivo,Bodysuits,1950,odoo,1
V0324080NAB/WHIS,Vivo X This Is Essential Leggings - Navy Blue / White - NAVY BLUE / WHITE / V0324080 / S,Vivo X This Is Essential Leggings,V0324080,Vivo,Leggings,2950,odoo,1
V0424116NABL,X This Is Essential Raceback Bralette - Navy Blue,Vivo X This Is Essential Raceback Bralette,V0424116,Vivo,Bodysuits,1500,odoo,1
V0224109GRYS,Vivo X This Is Essential Short Unitard - Grey,Vivo X This Is Essential Short Unitard,V0224109,Vivo,Jumpsuits & Playsuits,3250,catalog,1
V0224109NABL,Vivo X This Is Essential Short Unitard - Navy Blue,Vivo X This Is Essential Short Unitard,V0224109,Vivo,Jumpsuits & Playsuits,3250,catalog,1
V0823155WHIXXS,Vivo X This Is Essential Strappy Bodysuit - White - WHITE / V0823155 / XXS,Vivo X This Is Essential Strappy Bodysuit,V0823155,Vivo,Bodysuits,2250,odoo,1
V1223037WHIM,Vivo X This Is Essentials Long Sleeve Crew Neck Bodysuit - White,Vivo X This Is Essentials Long Sleeve Crew Neck Bodysuit,V1223037,Vivo,Bodysuits,3750,catalog,1
V0125004PLUS,Vivo Yene High Slit Tunic Top - Plum - PLUM / V0125004 / S,Vivo Yene High Slit Tunic Top,V0125004,Vivo,Loose Tops,2650,odoo,1
V0125032PR21X,Vivo Yene Jumpsuit - White / Burgundy Shibori Print,Vivo Yene Jumpsuit,V0125032,Vivo,Jumpsuits & Playsuits,3850,odoo,1
V0125003WHTS,Vivo Yene Layered Midi Dress - White - WHITE / V0125003 / S,Vivo Yene Layered Midi Dress,V0125003,Vivo,Midi & Capri Dresses,2350,odoo,1
V0125006MINM,Vivo Yene Layered Top - Mint Green,Vivo Yene Layered Top,V0125006,Vivo,Fitted Tops,1050,catalog,1
V0125005BLAS/M,Vivo Yene One Shoulder Kaftan - Black,Vivo Yene One Shoulder Kaftan,V0125005,Vivo,Maxi Dresses,2250,catalog,1
V1124138BLAM,Vivo Yene Wide Leg Pants - Black - black / V1124138 / m,Vivo Yene Wide Leg Pants,V1124138,Vivo,Full Length Pants,1550,odoo,1
V1124138BLAS,Vivo Yene Wide Leg Pants - Black - black / V1124138 / s,Vivo Yene Wide Leg Pants,V1124138,Vivo,Full Length Pants,1550,odoo,1
V1124138HOP1X,Vivo Yene Wide Leg Pants - Hot Pink - HOT PINK / V1124138 / 1X,Vivo Yene Wide Leg Pants,V1124138,Vivo,Full Length Pants,1550,odoo,1
V1124138HOPM,Vivo Yene Wide Leg Pants - Hot Pink - hot-pink / V1124138 / m,Vivo Yene Wide Leg Pants,V1124138,Vivo,Full Length Pants,1550,odoo,1
V1124138LIGTS,Vivo Yene Wide Leg Pants - Light Teal - LIGHT TEAL / V1124138 / S,Vivo Yene Wide Leg Pants,V1124138,Vivo,Full Length Pants,2750,odoo,1
V1124138PURL,Vivo Yene Wide Leg Pants - Purple,Vivo Yene Wide Leg Pants,V1124138,Vivo,Full Length Pants,1550,catalog,1
V1124138PURM,Vivo Yene Wide Leg Pants - Purple,Vivo Yene Wide Leg Pants,V1124138,Vivo,Full Length Pants,1550,catalog,1
V0719828TAUS/M,Vivo Yoga Wrap - Taupe,Vivo Yoga Wrap,V0719828,Vivo,Waterfalls & Kimonos,1000,odoo,1
V0223153DNAV1X,Vivo Yumi Maxi Shirt Dress - Dark Navy - DARK NAVY / V0223153 / 1X,Vivo Yumi Maxi Shirt Dress,V0223153,Vivo,Maxi Dresses,6500,odoo,1
V0126031DGRNS/M,Vivo Yumi Off Shoulder Jumpsuit In Crepe - Dark Green,Vivo Yumi Off Shoulder Jumpsuit In Crepe,V0126031,Vivo,Jumpsuits & Playsuits,6900,catalog,1
V0126031MARL/1X,Vivo Yumi Off Shoulder Jumpsuit In Crepe - Maroon - MAROON / V0126031 / L/1X,Vivo Yumi Off Shoulder Jumpsuit In Crepe,V0126031,Vivo,Jumpsuits & Playsuits,6900,odoo,1
V0623013PR31X,Vivo Zahari Sweatheart Neck Jumpsuit - Green / Black Print - PRINT / V0623013 / 1X,Vivo Zahari Sweatheart Neck Jumpsuit,V0623013,Vivo,Jumpsuits & Playsuits,2650,odoo,1
V0422149LNABM,Vivo Zena Bishop Panel Long Sleeve Round Neck Dress - Light Navy Blue - LIGHT NAVY BLUE / V0422149 / M,Vivo Zena Bishop Panel Long Sleeve Round Neck Dress,V0422149,Vivo,Knee Length Dresses,4950,odoo,1
Z0324012BLA3X,Zoya  Taani Maxi Dress - Black - BLACK / Z0324012 / 3X,Zoya  Taani Maxi Dress,Z0324012,Zoya,Maxi Dresses,1100,odoo,1
Z0324012NAVXS,Zoya  Taani Maxi Dress - Navy - NAVY / Z0324012 / XS,Zoya  Taani Maxi Dress,Z0324012,Zoya,Maxi Dresses,1100,odoo,1
Z0924065BLNAXS/S,Zoya Aridi Cropped Jacket - Blue Flannel / Navy - PRINT / Z0924065 / XS/S,Zoya Aridi Cropped Jacket,Z0924065,Zoya,Jackets & Coats,1600,odoo,1
