POS Location,Product Vendor,Subcategory,Product Title,SKU,Price,Discount,Returns,Units Sold,Net Sales
Vivo Runda,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,1,1034
Vivo Runda,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,2,2069
Vivo Runda,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,4,4138
Vivo Sarit,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,4,4138
Vivo Sarit,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,3,3103
Vivo Sarit,,Body Mists & Fragrances,Ythera Nourishing & Brightening Face Oil,YTHE01027N/AF,950,0,0,1,819
Vivo Sarit,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,4,4138
Vivo Sarit,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
Vivo Signature Mall,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,1,1034
Vivo T- Mall,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,2,2069
Vivo T- Mall,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,2,2069
Vivo T- Mall,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,3,3103
Vivo T- Mall,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,3,3103
Vivo TRM,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,3,3103
Vivo TRM,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,1,1034
Vivo TRM,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,4,4138
Vivo Two Rivers,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,3,3103
Vivo Two Rivers,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,2,2069
Vivo Village Market,,Body Mists & Fragrances,Ythera Chocolate Souffle Firming & Glow Body Oil,YTHE01026N/AF,1300,0,0,1,1121
