Style Name,Style Number,Location,Units Available
Vivo Lulu Cotton Barrel Pants,V1125006,Online - Shop Zetu,26
Vivo Lulu Cotton Barrel Pants,V1125006,Retired Stock,34.0
Vivo Lulu Cotton Barrel Pants,V1125006,The Oasis Mall,6
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo Acacia,10
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo Imaara,5.0
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo Junction,2.0
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo Kigali Heights,7
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo Runda,1.0
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo Sarit,5.0
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo TRM,1.0
Vivo Lulu Cotton Barrel Pants,V1125006,Vivo Village Market,1.0
Vivo Lulu Cotton Barrel Pants,V1125006,Warehouse Finished Goods,17.0
Vivo Lulu Cotton Barrel Pants,V1125006,Zoya Sarit,18.0
Vivo Mira Reversible Wrap Top,V1123158,Finished Goods Production,1.0
Vivo Mira Reversible Wrap Top,V1123158,Online - Shop Zetu,5
Vivo Mira Reversible Wrap Top,V1123158,Retired Stock,4.0
Vivo Mira Reversible Wrap Top,V1123158,Zoya Sarit,1.0
Vivo Mistari 3/4 Sleeve V,V0622041,Online - Shop Zetu,7
Vivo Mistari 3/4 Sleeve V,V0622041,Retired Stock,7.0
Vivo Mistari 3/4 Sleeve V,V0622041,Zoya Sarit,3.0
Vivo Niari straight leg Pants,V0225011,Online - Shop Zetu,10
Vivo Niari straight leg Pants,V0225011,Retired Stock,5.0
Vivo Niari straight leg Pants,V0225011,The Oasis Mall,1
Vivo Niari straight leg Pants,V0225011,Vivo Junction,2.0
Vivo Niari straight leg Pants,V0225011,Warehouse Finished Goods,3.0
Vivo Niari straight leg Pants,V0225011,Zoya Sarit,6.0
Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Online - Shop Zetu,20
Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Retired Stock,54.0
Vivo Nora 3/4 Sleeve Peplum Top,V0825009,The Oasis Mall,1
Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Vivo Acacia,5
Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Vivo Kigali Heights,3
Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Warehouse Finished Goods,2.0
Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Zoya Sarit,10.0
Vivo Nora Front Pleat Knee Length Dress,V0825014,Online - Shop Zetu,31
Vivo Nora Front Pleat Knee Length Dress,V0825014,Retired Stock,21.0
Vivo Nora Front Pleat Knee Length Dress,V0825014,The Oasis Mall,8
Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo Acacia,10
Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo Imaara,2.0
Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo Kigali Heights,1
Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo Moi Avenue,22.0
Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo TRM,3.0
Vivo Nora Front Pleat Knee Length Dress,V0825014,Warehouse Finished Goods,2.0
Vivo Nora Front Pleat Knee Length Dress,V0825014,Zoya Sarit,15.0
Vivo Nora Front Slit Knee Length Skirt,V0825012,Online - Shop Zetu,31
Vivo Nora Front Slit Knee Length Skirt,V0825012,Retired Stock,136.0
Vivo Nora Front Slit Knee Length Skirt,V0825012,The Oasis Mall,5
Vivo Nora Front Slit Knee Length Skirt,V0825012,Vivo Acacia,8
Vivo Nora Front Slit Knee Length Skirt,V0825012,Vivo Kigali Heights,5
Vivo Nora Front Slit Knee Length Skirt,V0825012,Vivo Yaya,2.0
Vivo Nora Front Slit Knee Length Skirt,V0825012,Warehouse Finished Goods,10.0
Vivo Nora Front Slit Knee Length Skirt,V0825012,Zoya Sarit,14.0
Vivo Nuru Maxi Kimono,V0725020,Online - Shop Zetu,11
Vivo Nuru Maxi Kimono,V0725020,Retired Stock,116.0
Vivo Nuru Maxi Kimono,V0725020,Vivo Kigali Heights,2
Vivo Nuru Maxi Kimono,V0725020,Vivo Runda,2.0
Vivo Nuru Maxi Kimono,V0725020,Vivo T- Mall,2.0
Vivo Nuru Maxi Kimono,V0725020,Warehouse Finished Goods,19.0
Vivo Nuru Maxi Kimono,V0725020,Zoya Sarit,7.0
Vivo Pelia Kimono,V1024045,Online - Shop Zetu,3
Vivo Pelia Kimono,V1024045,Retired Stock,3.0
Vivo Pelia Kimono,V1024045,Warehouse Finished Goods,1.0
Vivo Pelia Kimono,V1024045,Zoya Sarit,2.0
Vivo Rayon Jersey Slip Dress,V1025038,Online - Shop Zetu,27
Vivo Rayon Jersey Slip Dress,V1025038,Retired Stock,75.0
Vivo Rayon Jersey Slip Dress,V1025038,The Oasis Mall,15
Vivo Rayon Jersey Slip Dress,V1025038,Vivo Acacia,2
Vivo Rayon Jersey Slip Dress,V1025038,Vivo Imaara,1.0
Vivo Rayon Jersey Slip Dress,V1025038,Vivo Junction,2.0
Vivo Rayon Jersey Slip Dress,V1025038,Vivo Kigali Heights,2
Vivo Rayon Jersey Slip Dress,V1025038,Vivo MSA Digo Road,4.0
Vivo Rayon Jersey Slip Dress,V1025038,Vivo Signature Mall,1.0
Vivo Rayon Jersey Slip Dress,V1025038,Vivo TRM,4.0
Vivo Rayon Jersey Slip Dress,V1025038,Warehouse Finished Goods,25.0
Vivo Rayon Jersey Slip Dress,V1025038,Zoya Sarit,4.0
Vivo Reba Gathered Dress,V0224221,Online - Shop Zetu,6
Vivo Reba Gathered Dress,V0224221,Retired Stock,1.0
Vivo Reba Gathered Dress,V0224221,Vivo TRM,4.0
Vivo Reba Gathered Dress,V0224221,Zoya Sarit,2.0
Vivo Ria Mock Neck Top,V0725045,Online - Shop Zetu,22
Vivo Ria Mock Neck Top,V0725045,Retired Stock,15.0
Vivo Ria Mock Neck Top,V0725045,The Oasis Mall,2
Vivo Ria Mock Neck Top,V0725045,Vivo Runda,2.0
Vivo Ria Mock Neck Top,V0725045,Warehouse Finished Goods,1.0
Vivo Ria Mock Neck Top,V0725045,Zoya Sarit,5.0
Vivo Safa Skirt,V0325007,Online - Shop Zetu,27
Vivo Safa Skirt,V0325007,Retired Stock,26.0
Vivo Safa Skirt,V0325007,The Oasis Mall,5
Vivo Safa Skirt,V0325007,Vivo Kigali Heights,1
Vivo Safa Skirt,V0325007,Vivo Moi Avenue,1.0
Vivo Safa Skirt,V0325007,Warehouse Finished Goods,4.0
Vivo Safa Skirt,V0325007,Zoya Sarit,18.0
Vivo Samira Maxi Kimono,V0525043,Finished Goods Production,1.0
Vivo Samira Maxi Kimono,V0525043,Online - Shop Zetu,10
Vivo Samira Maxi Kimono,V0525043,Retired Stock,11.0
Vivo Samira Maxi Kimono,V0525043,Vivo Acacia,1
Vivo Samira Maxi Kimono,V0525043,Vivo Kigali Heights,3
Vivo Samira Maxi Kimono,V0525043,Warehouse Finished Goods,6.0
Vivo Seli Strappy Tent Top,V0125047,Online - Shop Zetu,10
Vivo Seli Strappy Tent Top,V0125047,Retired Stock,8.0
Vivo Seli Strappy Tent Top,V0125047,Vivo Kigali Heights,2
Vivo Seli Strappy Tent Top,V0125047,Vivo Moi Avenue,7.0
Vivo Seli Strappy Tent Top,V0125047,Warehouse Finished Goods,6.0
Vivo Seli Strappy Tent Top,V0125047,Zoya Sarit,11.0
Vivo Sierra Bishop Sleeve Top,V0121031,Online - Shop Zetu,10
Vivo Sierra Bishop Sleeve Top,V0121031,Retired Stock,9.0
Vivo Sierra Bishop Sleeve Top,V0121031,Vivo Imaara,4.0
Vivo Sierra Bishop Sleeve Top,V0121031,Vivo Kigali Heights,1
Vivo Sierra Bishop Sleeve Top,V0121031,Warehouse Finished Goods,5.0
Vivo Sierra Bishop Sleeve Top,V0121031,Zoya Sarit,5.0
Vivo Studio 2-piece in Mixed Media,V0925053,Online - Shop Zetu,29
Vivo Studio 2-piece in Mixed Media,V0925053,Retired Stock,16.0
Vivo Studio 2-piece in Mixed Media,V0925053,The Oasis Mall,18
Vivo Studio 2-piece in Mixed Media,V0925053,Vivo Acacia,6
Vivo Studio 2-piece in Mixed Media,V0925053,Vivo Kigali Heights,4
Vivo Studio 2-piece in Mixed Media,V0925053,Vivo Moi Avenue,1.0
Vivo Studio 2-piece in Mixed Media,V0925053,Warehouse Finished Goods,153.0
Vivo Studio 2-piece in Mixed Media,V0925053,Zoya Sarit,6.0
Vivo Studio Longline Shorts in Crepe,V1225011,Online - Shop Zetu,35
Vivo Studio Longline Shorts in Crepe,V1225011,Retired Stock,2.0
Vivo Studio Longline Shorts in Crepe,V1225011,The Oasis Mall,9
Vivo Studio Longline Shorts in Crepe,V1225011,Vivo Acacia,9
Vivo Studio Longline Shorts in Crepe,V1225011,Vivo Kigali Heights,27
Vivo Studio Longline Shorts in Crepe,V1225011,Warehouse Finished Goods,240.0
Vivo Studio Longline Shorts in Crepe,V1225011,Zoya Sarit,6.0
Vivo Tahisa Straight Leg Pants,V1124102,Online - Shop Zetu,21
Vivo Tahisa Straight Leg Pants,V1124102,Retired Stock,7.0
Vivo Tahisa Straight Leg Pants,V1124102,Staff purchases,1.0
Vivo Tahisa Straight Leg Pants,V1124102,The Oasis Mall,1
Vivo Tahisa Straight Leg Pants,V1124102,Vivo Junction,1.0
Vivo Tahisa Straight Leg Pants,V1124102,Warehouse Finished Goods,1.0
Vivo Tahisa Straight Leg Pants,V1124102,Zoya Sarit,5.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Online - Shop Zetu,30
Vivo Tana Puff Sleeve Bodysuit,V0822077,Retired Stock,83.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,The Oasis Mall,10
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Acacia,19
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Capital Centre,8.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo City Mall,8.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Galleria,5.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Imaara,4.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Junction,1.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Kigali Heights,5
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo MSA Digo Road,8.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Mama Ngina St,16.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Runda,8.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Signature Mall,1.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo TRM,1.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Two Rivers,1.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Village Market,9.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo Yaya,4.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Warehouse Finished Goods,113.0
Vivo Tana Puff Sleeve Bodysuit,V0822077,Zoya Sarit,23.0
Vivo Waridi Sleeveless Overcoat,V1020056,Online - Shop Zetu,17
Vivo Waridi Sleeveless Overcoat,V1020056,Retired Stock,41.0
Vivo Waridi Sleeveless Overcoat,V1020056,The Oasis Mall,3
Vivo Waridi Sleeveless Overcoat,V1020056,Vivo Kigali Heights,6
Vivo Waridi Sleeveless Overcoat,V1020056,Vivo Kisumu,2.0
Vivo Waridi Sleeveless Overcoat,V1020056,Vivo Mama Ngina St,2.0
Vivo Waridi Sleeveless Overcoat,V1020056,Warehouse Finished Goods,10.0
Vivo Waridi Sleeveless Overcoat,V1020056,Zoya Sarit,17.0
Vivo X This Is Essential Raceback Bralette,V0424116,Online - Shop Zetu,4
Vivo X This Is Essential Raceback Bralette,V0424116,Retired Stock,29.0
Vivo X This Is Essential Raceback Bralette,V0424116,Zoya Sarit,10.0
Vivo Yene Wide Leg Pants,V1124138,Online - Shop Zetu,20
Vivo Yene Wide Leg Pants,V1124138,Retired Stock,7.0
Vivo Yene Wide Leg Pants,V1124138,Vivo TRM,1.0
Vivo Yene Wide Leg Pants,V1124138,Warehouse Finished Goods,2.0
Vivo Yene Wide Leg Pants,V1124138,Zoya Sarit,3.0
Vivo Zahari Sweatheart Neck Jumpsuit,V0623013,Online - Shop Zetu,4
Vivo Zahari Sweatheart Neck Jumpsuit,V0623013,Retired Stock,1.0
Vivo Zahari Sweatheart Neck Jumpsuit,V0623013,Vivo Kigali Heights,3
Vivo Zahari Sweatheart Neck Jumpsuit,V0623013,Vivo TRM,2.0
Vivo Zahari Sweatheart Neck Jumpsuit,V0623013,Zoya Sarit,5.0
