Style Number,Style Name,Brand,Category,SKUs,Units Sold,Total Sales KES
V0225032,Vivo Ayah Shirred Cuff Loose Top,Vivo,Tops,8,234,800618
V0724097,Vivo Tatari Panelled Sheath Dress,Vivo,Dresses,8,210,798284
V0724047,Vivo Nkasi Wide Leg Pants,Vivo,Bottoms,12,201,797751
V0923089,Vivo Ava Shirt Collar Tunic Top,Vivo,Tops,2,213,789954
V0719261,Vivo Basic Long Sleeved Double Layered Bodycon,Vivo,Dresses,19,208,789511
V0725029,Vivo Ari Sleeveless Straight Maxi Slit Dress,Vivo,Dresses,13,160,778589
V0625044,Vivo Iyana Tank Top,Vivo,Tops,16,409,776980
V0624099,Vivo Fimi Drop Shoulder Maxi Dress,Vivo,Dresses,9,134,767806
V1025012,Vivo Anavi Cascade Waterfall,Vivo,Outerwear,15,167,765186
V1024064,Vivo Basic Sleeveless Tent Kimono,Vivo,Outerwear,3,312,761415
V0225007,Vivo Ayah 3/4 Sleeve Jumpsuit,Vivo,Bottoms,7,150,756682
V0125077,Vivo Niari Sleeveless Pleated Dress,Vivo,Dresses,9,151,741667
V1023109,Vivo Sarabi Strappy Flounce Maxi Dress,Vivo,Dresses,11,143,728538
V1124093,Vivo Meli Chiffon Pants,Vivo,Bottoms,8,176,727510
S0623035,Safari Hawi Cargo Pants,Safari,Bottoms,14,192,723370
V1026039,Vivo High Low Top In Crepe,Vivo,Tops,8,170,712540
V0524171,Vivo Zahari Straight Leg Pants,Vivo,Bottoms,31,199,707748
V0624053,Vivo Hamle Front Twist Bodysuit,Vivo,Tops,24,245,703575
V0625016,Vivo Diella Wide Leg Pants in Crepe,Vivo,Bottoms,8,155,695625
S0625014,Safari 3/4 Sleeve Maxi Kimono With Headwrap,Safari,Outerwear,4,109,689849
V1125001,Vivo Jersey Drop Shoulder Top,Vivo,Tops,16,276,687590
V1121103,Vivo Sana Long Sleeved Maxi cover-Up,Vivo,Outerwear,12,143,684868
V1024029,Vivo Kelemi Ruffle Sleeve Top,Vivo,Tops,8,155,682650
V0523184,Vivo Laika Long Sleeve Tie Top,Vivo,Tops,18,188,679122
V0422073,Vivo Basic Neo Waterfall,Vivo,Outerwear,3,210,668436
S1024009,Safari Chui 3/4 Sleeve A-Line Dress,Safari,Dresses,10,86,646509
V0924033,Vivo Hoodie High Low Poncho,Vivo,Outerwear,1,101,641815
V0325047,Vivo Kelemi 4.0 Frilled Wide Top,Vivo,Tops,10,138,640675
V0522032,Vivo Zena Long Sleeve Mandarin Collar Shift Dress,Vivo,Dresses,8,113,636703
V0323019,Vivo Basic V-neck Cap Sleeve Top,Vivo,Tops,24,281,627373
