Style Number,Style Name,Brand,Category,SKUs,Units Sold,Total Sales KES
V0324083,Vivo Liv Wide Crepe Top,Vivo,Tops,2,46,153720
S0124010,Safari Haya Strappy Tie Back Maxi Dress,Safari,Dresses,5,46,150667
V0424027,Vivo Saida Cigarrets Pants,Vivo,Bottoms,16,64,150502
V1223017,Vivo Yumi Long Sleeve Shirt Dress,Vivo,Dresses,6,53,150180
S0924024,Safari Mansi Mens Summer Shirt,Safari,Tops,12,43,149756
S0425040,Shiv & Shikie X Safari Turtleneck Vest,Third Party Brands,Tops,2,44,149600
V0624024,Vivo Kitenge Tie Top,Vivo,Tops,15,37,148756
S0223172,Safari Mali Gathered Flounce Sleeve Tent Dress,Safari,Dresses,3,32,148530
V0223149,Vivo Yumi High Waist Pants,Vivo,Bottoms,10,54,145234
S0925041,Safari Njano Men's Short Sleeve Shirt,Safari,Tops,14,25,145000
Z0722035,Zoya Basic Long Sleeve Bodycon,Zoya,Dresses,19,72,144148
Z0324002,Zoya Taani Midriff Hoodie,Zoya,Outerwear,6,62,143904
Z1024056,Zoya X Metamorphisized 143 Workman's Jacket,Zoya,Outerwear,8,63,143095
S1023059,Safari Zene Drop Shoulder Top,Safari,Tops,5,67,141523
V0425009,Vivo Rema Palazzo Pants,Vivo,Bottoms,6,42,141050
V0622009,Vivo Jema High Slit Maxi Kimono,Vivo,Outerwear,6,37,141038
Z0724071,Zoya Banda Men's Cargo Pants,Zoya,Bottoms,8,49,140550
V0125047,Vivo Seli Strappy Tent Top,Vivo,Tops,8,88,139817
V0624061,Vivo Alora Long Sleeve Top,Vivo,Tops,2,44,139425
Z0125025,Zoya Sadira Mini Bubble Dress,Zoya,Dresses,9,55,139185
V0125001,Vivo Yene One Shoulder Maxi Dress,Vivo,Dresses,7,36,138291
V0719433,Vivo Kay Sheath Dress,Vivo,Dresses,4,43,136104
V0123104,Vivo Imara Sleeveless Front Tie Dress,Vivo,Dresses,8,54,135714
V0719121,Vivo Basic Straight Maxi Dress,Vivo,Dresses,3,31,135203
V1123057,Vivo Sanyu Overlap Maxi Cover Up Top,Vivo,Tops,12,69,134658
Z1024023,Zoya Aridi Leggings,Zoya,Bottoms,16,173,134450
V0424160,Vivo Hooded Kimono With Elastic Cuff,Vivo,Outerwear,7,22,133860
S1123111,Safari Lira Front Panelled Shirt Dress,Safari,Dresses,7,47,132792
Z0724103,Zoya Shani Men's Summer Shirt,Zoya,Tops,8,49,132265
V0124024,Vivo Tande Cap Sleeve Round Neck Top,Vivo,Dresses,8,56,130870
V1223045,Vivo Situ Off Shoulder Top,Vivo,Tops,8,76,130511
V0523180,Vivo Laika Long Sleeve Mandarin Top,Vivo,Tops,14,83,130222
Z0624103,Zoya Yuni Men's Long Sleeve T-shirt,Zoya,Tops,16,133,129273
V0425008,Vivo Rema Drawstring Turtleneck,Vivo,Bottoms,5,38,129150
Z0724070,Zoya Banda Men's Wide Pants,Zoya,Bottoms,8,76,128609
Z0724102,Zoya Basic Racer Back Crop Top,Zoya,Tops,10,113,128267
V0623026,Vivo Maisha Long Sleeve High Low Kimono,Vivo,Outerwear,8,29,128237
Z0724051,Zoya Banda Bandeau Asymmetrical Crop Top,Zoya,Tops,16,174,127822
V1023084,Vivo Sanyu Bubble Sleeve Tent Dress,Vivo,Dresses,6,38,126284
VE0003B,Vivo Essentials Capri Leggings,Vivo,Bottoms,8,48,126209
V1123157,Vivo Mira V-Neck Overlap Top,Vivo,Tops,8,61,125994
V1223018,Vivo Tana Puff Sleeve A-Line Dress,Vivo,Dresses,3,38,120167
Z0324046,Zoya Yuni Oversized Shirt,Zoya,Tops,10,31,117239
V0922049,Vivo Luna 3/4 Sleeve High Low Top,Vivo,Tops,4,43,117078
Z0924034,Zoya Temo Straight Leg Pants,Zoya,Bottoms,8,54,116879
Z0125027,Zoya Sadira Cargo Shorts,Zoya,Bottoms,7,62,116290
V0624008,Vivo Alora 3/4 Sleeve Shift Dress,Vivo,Dresses,1,26,114476
V0624006,Vivo Alora Round Neck Top,Vivo,Tops,2,38,113929
V0823134,Vivo Basic Long Sleeve Bodysuit (Seamless),Vivo,Tops,9,44,113711
Z0824040,Zoya Temo Parachute Pants,Zoya,Bottoms,12,69,113475
V0323015,Vivo Asika Kaftan Tunic,Vivo,Tops,1,37,113059
V0623003,Vivo Zahari Dolman Tie Kimono,Vivo,Outerwear,6,58,111427
Z0822098,Zoya Nia Wide Leg Denim Pants,Zoya,Bottoms,24,54,110760
V0423025,Vivo Tatili Drop Shoulder Cowl Top,Vivo,Tops,10,45,110494
V1223052,Vivo Situ Ruffle Neck Jumpsuit,Vivo,Bottoms,3,26,110265
VE0042P,Vivo Kitenge Bubble Sleeve Tent Dress,Vivo,Dresses,14,24,109935
V0723017,Vivo Ziwa Long Sleeve Ruffle Midi Kimono,Vivo,Outerwear,5,42,106282
S0925061,Safari By Vivo Mens Cotton Pants,Safari,Bottoms,7,22,105600
V1023100,Vivo Amara Back Pleat Dress,Vivo,Dresses,5,27,104925
V0923018,Vivo Soleil Sleeveless Layered Top,Vivo,Tops,7,75,104484
Z0225010,Zoya Vasha Track Pants,Zoya,Bottoms,15,72,104435
V1023079,Vivo Sanyu Shift Dress,Vivo,Dresses,4,38,103901
V0625005,Vivo Alani Pallazo Pants,Vivo,Bottoms,4,24,103626
S0423069,Safari Hawi Peplum Bishop Sleeve Wrap Coat,Safari,Outerwear,16,44,103381
Z0324004,Zoya Taani Side Slit Hoodie,Zoya,Outerwear,8,53,101736
V1123036,Vivo Sanyu Maxi Tent Dress,Vivo,Dresses,1,24,101728
V1223044,Vivo Situ Ruffle Neck Top,Vivo,Tops,5,109,101275
V0825032,Vivo Kemi Skirt & Top Set,Vivo,Skirts,1,21,100940
V0823129,Vivo Naya One Shoulder Flounce Top,Vivo,Tops,18,123,100337
V0625038,Vivo Alani Boat Neck Top,Vivo,Tops,2,53,100130
V0623033,Vivo Basic Spaghetti Strap Tank Top,Vivo,Tops,15,91,99699
S0724014,Safari Savannah Front Slit Midi Skirt,Safari,Skirts,3,19,98777
Z1024004,Zoya Aridi Unisex Shacket (Flannel),Zoya,Outerwear,8,48,98337
Z1024087,Zoya X Metamorphisized 143 Pleated Flannel Mini Skirt,Zoya,Skirts,10,55,97215
Z0324012,Zoya Taani Maxi Dress,Zoya,Dresses,16,62,95180
V0923019,Vivo Soleil Sleeveless Layered Knee Length Dress,Vivo,Dresses,6,26,94235
S0223186,Safari Kaya Long Sleeve Shirt Dress,Safari,Dresses,6,20,94043
S0724084,Safari Savannah Kitenge Chinese Collar Shirt,Safari,Tops,3,22,94018
Z0324061,Zoya Yuni Contrast Stitch Cargo Pants,Zoya,Bottoms,8,25,93004
V0120033,Vivo Wide Liv Chiffon Maxi,Vivo,Dresses,2,25,92795
S0924010,Safari Mansi Maxi Shirt Dress,Safari,Dresses,2,14,91613
S0924026,Safari Mansi Mens Shorts,Safari,Bottoms,8,37,91597
Z0324067,Zoya Yuni Sleeveless Turtle Neck Maxi Top,Zoya,Tops,22,61,91042
Z0424111,Zoya Yuni Men's Fleece Sweat Pants,Zoya,Bottoms,10,40,90811
VE0001M,Vivo Essentials Tank Top,Vivo,Tops,9,61,90385
S0424039,Safari Men's Chinese Collar Long Sleeve Shirt,Safari,Tops,3,39,89997
S0223171,Safari Mali Gathered Flounce Sleeve Shirt Dress,Safari,Dresses,3,19,88441
Z0125026,Zoya Sadira Mini Cargo Skirt,Zoya,Skirts,10,45,86759
Z0824044,Zoya Temo Mens Zipped Overshirt,Zoya,Tops,7,62,86547
S0824030,Safari Njano Men's Knee Length Shorts,Safari,Bottoms,8,26,86180
Z0125020,Zoya Sadira Strappy Bodysuit,Zoya,Tops,13,57,85956
V1123031,Vivo Hisi Dolman Knee Length Dress,Vivo,Dresses,4,54,85347
VE0006B,Vivo Essentials Full Length Leggings,Vivo,Bottoms,8,43,84848
VE0008B,Vivo Essentials Bodycon,Vivo,Dresses,7,23,84806
V1023070,Vivo Sanyu Bubble Off,Vivo,Tops,11,56,84619
S0824068,Safari Savannah Kitenge Shacket,Safari,Outerwear,4,17,83520
Z0424110,Zoya Yuni Men's Sweatshirt,Zoya,Tops,21,48,81982
V0823179,Vivo Leila Asymmetrical Angel Sleeve Top,Vivo,Tops,1,28,81484
VE0032M,Vivo Wide-Leg Pants,Vivo,Bottoms,8,19,80814
Z0624022,Zoya Shani Pleated Shorts,Zoya,Bottoms,16,54,80495
V1123147,Vivo Mira Midi Kimono (Petite),Vivo,Outerwear,4,29,78479
V1123158,Vivo Mira Reversible Wrap Top,Vivo,Tops,9,64,78418
Z1024059,Zoya X Metamorphisized 143 Cropped Jacket,Zoya,Outerwear,3,31,78287
S0424075,Safari Huru Halter Sleeveless High Low Dress,Safari,Dresses,3,15,76850
S1123109,Safari Lira Panelled Camisole Top,Safari,Tops,8,100,76140
Z0824034,Zoya Temo Cropped Jacket,Zoya,Outerwear,3,32,75940
S0724143,Safari Njano Joggers,Safari,Bottoms,1,17,74225
S0223023,Safari Nimali Ruffle Sleeve Top,Safari,Tops,5,35,74080
V0523146,Vivo Leila Hip Length Waterfall,Vivo,Outerwear,4,21,72993
Z1024051,Zoya X Metamorphisized 143 Raglan Sleeve Midriff Top,Zoya,Tops,12,53,72231
V0623072,Vivo Sani Long Sleeve Ruffle Placket Shirt,Vivo,Tops,4,32,71845
V1124158,Vivo Chari Basic Pencil Skirt,Vivo,Skirts,1,30,71500
Z0125029,Zoya Sadira Bell Bottom Unitard,Zoya,Bottoms,10,49,70992
Z0324049,Zoya Yuni Halter Midriff Top,Zoya,Tops,28,104,70818
V0424153,Vivo Maxi Kimono,Vivo,Outerwear,7,19,70557
V1123138,Vivo Sanali Off,Vivo,Tops,7,40,70453
S0424050,Safari Bush Asymmetrical Sweater Poncho,Safari,Outerwear,1,26,69866
V0423052,Vivo Basic V-Neck Long Sleeve Top,Vivo,Tops,4,45,69830
V0523147,Vivo Dua Long Bishop Sleeve Top,Vivo,Tops,2,24,69576
VE0041M,Vivo Sleeveless Blazer,Vivo,Outerwear,9,18,69520
V0723068,Vivo Jira Scoop Neck Jumpsuit,Vivo,Bottoms,13,39,68033
Z0724059,Zoya Banda Waist Length Zipped Jacket,Zoya,Outerwear,6,50,66250
Z0824050,Zoya Temo Men's Patched Straight Leg Pants,Zoya,Bottoms,13,39,65406
V0719007,Vivo Basic 3/4 Sleeve A-Line Wrap Maxi Dress,Vivo,Dresses,2,17,65018
Z0822087,Zoya Nia Wide Leg Shorts,Zoya,Bottoms,19,38,64958
Z0821148,Zoya Essentials Mini Bodycon,Zoya,Dresses,13,41,64075
V1123154,Vivo Mira Straight Leg Pants,Vivo,Bottoms,5,24,63473
Z0324024,Zoya Naya One Shoulder Flounce Satin Crop Top,Zoya,Tops,4,43,62970
V0224211,Vivo Safiya Wide Top,Vivo,Tops,1,81,62826
S0424047,Safari Men's Cargo Pants,Safari,Bottoms,6,20,62712
S0925045,Safari Njano Men's Easy Fit Kitenge Pants,Safari,Bottoms,8,13,62400
V0424155,Vivo Halter Maxi With Lining,Vivo,Dresses,5,18,61305
VE0001B,Vivo Essentials Tank Top,Vivo,Tops,7,41,60721
V092404,Vivo Mandla Side Flap A-Line Dress,Vivo,Dresses,1,12,60410
Z0724018,Zoya Shani Men's Drawstring Shorts,Zoya,Bottoms,8,50,60000
V1223058,Vivo Alika High Waist Pants,Vivo,Bottoms,2,22,58899
V1120011,Vivo Basic Nala Dolman Cowl Sweater Top,Vivo,Tops,1,20,58078
S0925059,Safari By Vivo Mens Cotton Shorts,Safari,Bottoms,7,17,57800
V1124136,Vivo Yene V Neck Slip Dress,Vivo,Dresses,6,16,56730
S0923110,Safari Kikoy 3/4 Sleeve Shirt,Safari,Tops,5,25,56703
Z0822082,Zoya Nia Off Shoulder Knee Length Dress,Zoya,Dresses,13,22,55895
Z0225008,Zoya Vasha Short Sleeve Mesh Top,Zoya,Tops,15,101,55350
Z0125023,Zoya Sadira Men's Polo T-Shirt,Zoya,Tops,8,37,54920
VE0028P,Vivo Trench Coat,Vivo,Outerwear,10,20,53780
S0824029,Safari Njano Men's Straight Leg Pants,Safari,Bottoms,4,10,53350
Z1024050,Zoya X Metamorphisized 143 Raglan Sleeve Crop Top,Zoya,Tops,13,45,52875
Z0225007,Zoya Vasha Hooded Jacket,Zoya,Outerwear,9,45,52727
S0724127,Safari Njano Wide Leg Pants,Safari,Bottoms,4,14,52645
V0323020,Vivo Basic Long Sleeve A-Line Maxi Dress,Vivo,Dresses,1,9,52522
V0224164,Vivo Kelemi A-Line Knee Length Dress,Vivo,Dresses,4,14,52301
V0424012,Vivo Pendo Puff Sleeve Shift Dress,Vivo,Dresses,4,13,51864
V0223165,Vivo Maua Sleeveless Tent Knee Length Dress,Vivo,Dresses,2,21,51532
V0424022,Vivo Saida Bishop Sleeve Top,Vivo,Tops,4,18,51405
V1223181,Vivo Basic Wide Jersey Top,Vivo,Tops,1,33,51268
V0424158,Vivo Cowl Camisole,Vivo,Tops,11,38,50774
Z0324069,Zoya Yuni Halter Tank Top,Zoya,Tops,16,57,50585
V1023154,Vivo Ava Tent Knee Length Dress,Vivo,Dresses,2,13,50059
Z0324057,Zoya Yuni Halter Dress,Zoya,Tops,8,34,49756
Z1124124,Zoya Kyro Pleated Mini Skirt,Zoya,Skirts,10,40,49580
S1124152,Safari Sizani Men's Kitenge Placket Shirt,Safari,Tops,10,13,49400
Z0125019,Zoya Sadira Ribbed Top,Zoya,Tops,5,22,49200
Z0225009,Zoya Vasha Biker Shorts,Zoya,Bottoms,15,83,48765
V1023097,Vivo Amara Sleeveless High Low Top,Vivo,Tops,4,31,48632
V1023069,Vivo Sanyu Boat Neck Midriff Top,Vivo,Tops,4,22,48020
VE0008W,Vivo Essentials Bodycon,Vivo,Dresses,6,13,47696
Z0924029,Zoya Temo Men's Knee Length Shorts,Zoya,Bottoms,7,31,47668
S0223175,Safari Mali Off,Safari,Dresses,1,12,47440
Z0324017,Zoya Taani Wide Joggers,Zoya,Bottoms,10,26,47370
V0823125,Vivo Naya One Shoulder Flounce Jumpsuit,Vivo,Bottoms,12,39,47005
Z0624006,Zoya Shani Off Shoulder Crop Top,Zoya,Tops,15,44,46945
VE0008Y,Vivo Essentials Bodycon,Vivo,Dresses,4,17,46869
S0824054,Safari Kitenge Men's Sweatshirt,Safari,Tops,7,11,46750
VE0060P,Vivo Nimali Satin Flounce Kimono,Vivo,Outerwear,2,11,46732
V1223041,Vivo Situ Side Slit Midi Kimono,Vivo,Outerwear,4,10,46615
S0425045,Shiv & Shikie X Safari Faux Collar Shirt,Third Party Brands,Tops,1,17,46480
S0124009,Safari Haya High Low Dress,Safari,Dresses,4,20,46360
Z0324052,Zoya Yuni Off Shoulder Bodysuit,Zoya,Tops,8,33,45710
S0824055,Safari Kitenge Men's Sweat Pants,Safari,Bottoms,9,10,45500
VE0060N,Vivo Nimali Satin Flounce Kimono,Vivo,Outerwear,1,9,45352
Z0822099,Zoya Nia Cargo Shorts,Zoya,Bottoms,15,34,44325
S1124116,Safari Sizani Strappy Tent Top,Safari,Tops,10,20,44060
V0624013,Vivo X Essence Asha Wide Leg Pants With Short Lining,Vivo,Bottoms,5,9,43991
V0923010,Vivo Jira Capri Leggings,Vivo,Bottoms,9,27,43779
V0220060,Zoya Capri Leggings,Zoya,Bottoms,1,35,43492
Z0125022,Zoya Sadira Midriff Polo T-Shirt,Zoya,Tops,11,29,43285
Z0724060,Zoya Banda Drop Shoulder Unisex Wide Jacket,Zoya,Outerwear,5,35,42780
V0525027,Vivo Keza Wide Satin Kimono,Vivo,Outerwear,1,8,41800
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Third Party Brands,Bottoms,5,41,41520
Z0324066,Zoya Yuni High Slit Dress,Zoya,Dresses,12,31,41380
S0623056,Safari Anga Puffy Short Sleeve Tie Top,Safari,Tops,7,33,41342
V1124110,Vivo Seli Shorts,Vivo,Bottoms,4,16,41036
V0923053,Vivo Ava Pleated Wide Leg Pants,Vivo,Bottoms,4,12,40600
Z0724054,Zoya Banda Strappy Playsuit,Zoya,Bottoms,9,36,40245
VE0032A,Vivo Wide-Leg Pants,Vivo,Bottoms,6,14,40100
V1022076,Vivo Raha Waist Tie Top,Vivo,Tops,1,14,39958
V0623071,Vivo Sani Long Sleeve Ruffle Shirt Dress,Vivo,Dresses,4,14,39613
S0925060,Safari By Vivo Mens Cotton Short Sleeve Shirt,Safari,Tops,4,9,39600
V0224229,Vivo Reba Dolman Dress,Vivo,Dresses,1,9,39121
V0322088,Vivo Jamila Halter Neck Knee Length Dress,Vivo,Dresses,5,11,39101
V0324076,Vivo Azawi Pencil Skirt,Vivo,Skirts,4,24,38731
V0124079,Vivo Situ Tulip Pants,Vivo,Bottoms,3,10,38693
Z0824048,Zoya Temo Mens Short Sleeve T-shirt,Zoya,Tops,13,48,38555
V0224166,Vivo Kelemi Layered Maxi Dress,Vivo,Dresses,4,8,38370
V1124154,Vivo Chari V-Neck Top,Vivo,Tops,1,14,38340
Z0124039,Zoya Luna Drape Tie Top,Zoya,Tops,11,33,38178
Z0324056,Zoya Yuni Off shoulder Mini Dress,Zoya,Dresses,8,33,38087
V1223020,Vivo Lero Capri Leggings,Vivo,Bottoms,9,35,37925
V1122143,Vivo Fahari Drop Shoulder Cowl Top,Vivo,Tops,4,17,37877
Sample & Sale Items,Sample & Sale Items,Vivo,Sale,4,38,37850
Z0324009,Zoya Taani Sleeveless Midriff Top,Zoya,Tops,16,97,37603
Z0125030,Zoya Sadira Bell Bottom Pants,Zoya,Bottoms,7,22,37470
V0524174,Vivo Zahari Drop Shoulder High Low Dress,Vivo,Dresses,4,8,37445
Z1124120,Zoya Kyro Strappy Vest,Zoya,Tops,9,45,37065
V0124048,Vivo Arafa Wrap Dress,Vivo,Dresses,1,15,36416
S0424035,Safari Men's Bomber Jacket,Safari,Outerwear,3,7,36400
V1223050,Vivo Situ Ruffle Neck Maxi Dress- Black / Blush Manda Print,Vivo,Dresses,2,9,35765
Z0624009,Zoya Shani Cropped Tie Top,Zoya,Tops,5,22,35468
S1123100,Safari Lira Criss,Safari,Tops,2,13,34921
Z0824047,Zoya Temo Mens Camo Shirt,Zoya,Tops,7,25,34713
Z0624005,Zoya Shani Scarf Top,Zoya,Tops,2,34,34510
Z0924065,Zoya Aridi Cropped Jacket,Zoya,Outerwear,4,22,34440
V0923008,Vivo Jira Sleeveless Waterfall,Vivo,Outerwear,2,16,34107
V0121062,Vivo Talek Lap,Vivo,Tops,4,14,33951
V0822017,Vivo Sleeveless Sweater Bodycon,Vivo,Dresses,3,8,33600
V1123125,Vivo Lero Fitness Leggings,Vivo,Bottoms,9,29,33554
Z0724061,Zoya Banda Unisex Letterman Jacket,Zoya,Outerwear,4,24,33460
VE0001T,Vivo Essentials Tank Top,Vivo,Tops,7,30,33456
VE0003W,Vivo Essentials Capri Leggings,Vivo,Bottoms,6,14,33300
Z0225011,Zoya Vasha Raglan Sleeve Playsuit,Zoya,Bottoms,11,28,33162
S0824053,Safari Men's Long Sleeve T-shirt,Safari,Tops,8,30,33070
S0324027,Safari Zene Dolman Top,Safari,Tops,1,12,33000
V0723048,Vivo Sawari Long Sleeve V-Neck Midriff Top,Vivo,Tops,6,13,32946
V0121134,Vivo Basic Nalia High Low Jersey Top,Vivo,Tops,6,25,32850
Z0824063,Zoya Temo Crop T- Shirt,Zoya,Tops,8,39,32850
Z0724069,Zoya Banda Unisex Jorts,Zoya,Bottoms,7,48,32298
Z0225004,Zoya Vasha Sleeveless Turtleneck Mini Bodycon,Zoya,Dresses,5,27,32270
V0622073,Vivo Wingu Long Sleeve Side Drape Tunic Top,Vivo,Tops,4,35,32019
VE0060L,Vivo Nimali Satin Flounce Kimono,Vivo,Outerwear,1,8,31787
V1223056,Vivo Alika Knee Length Kimono,Vivo,Outerwear,1,8,31519
S1023066,Safari Kikoy Tunic High Low Top,Safari,Tops,1,6,31500
V0523155,Vivo Sia Leisure Pants,Vivo,Bottoms,9,21,30655
JN23315,Soko Maxi Dash Necklace,Third Party Brand,Accessories,1,3,30600
VE0054R,Vivo Nimali Satin Halter Top,Vivo,Tops,11,19,30100
S0923079,Safari Kikoy Off Shoulder Crop Top,Safari,Tops,9,46,30080
Z1124121,Zoya Kyro Straight Leg Pants,Zoya,Bottoms,8,16,29963
V0923001,Vivo Soleil Sleeveless Drape Jumpsuit,Vivo,Bottoms,2,6,29884
V1123153,Vivo Mira Joggers,Vivo,Bottoms,3,17,29865
Z0125021,Zoya Sadira Halter Neck Vest,Zoya,Tops,10,35,29660
Z1123050,Zoya Party Low V-Neck Bodysuit,Zoya,Tops,5,22,29489
V1124153,Vivo Chari Basic Chiffon Bishop Sleeve Top (Double Layered),Vivo,Tops,1,10,29376
V1123168,Vivo Sakari V-Neck Drop Shoulder Top,Vivo,Tops,4,14,29287
VE0006M,Vivo Essentials Full Length Leggings,Vivo,Bottoms,6,15,29250
VE0055B,Vivo Nimali Satin Joggers,Vivo,Bottoms,6,12,29242
V0424163,Vivo Wide Leg Chiffon Pants,Vivo,Bottoms,6,10,28988
V0824073,Vivo Amai Knee Length Dresses,Vivo,Dresses,3,6,27688
Z0125031,Zoya Sadira Mens' Chino Pants,Zoya,Bottoms,4,10,27500
VE0003T,Vivo Essentials Capri Leggings,Vivo,Bottoms,6,10,27449
VE0006W,Vivo Essentials Full Length Leggings,Vivo,Bottoms,7,14,27300
V0923023,Vivo Zaria Long Sleeve Coat,Vivo,Outerwear,4,8,27230
VE0007B,Vivo Essentials High Neck Midriff Top,Vivo,Tops,8,16,26566
V0524166,Vivo Wide Leg Pants With Short Lining,Vivo,Bottoms,5,6,26462
V1123012,Vivo Hanabi Off,Vivo,Tops,3,11,26192
Z0822110,Zoya Nia Puff Sleeve Off Shoulder Romper,Zoya,Bottoms,8,10,26035
V0321048,Vivo Zanzi Wrap Circular Dress,Vivo,Dresses,3,10,25987
Z0324062,Zoya Yuni Cargo Pants,Zoya,Bottoms,5,9,25437
V1024036,Vivo Beali Wrap Shirt Dress,Vivo,Dresses,1,5,25275
V1123145,Vivo Sanali 0ff-Shoulder Knee Length Dress,Vivo,Dresses,2,7,25075
V1123062,Vivo Ajani Blouse,Vivo,Tops,1,14,24509
V0525058,Vivo Selah Palazzo Pants in Stretch Rib,Vivo,Bottoms,4,7,24500
Z0822091,Zoya Nia Crop Oversized Jacket,Zoya,Outerwear,6,14,24475
VE0003M,Vivo Essentials Capri Leggings,Vivo,Bottoms,6,9,24449
P21DD80,Cowl Lined Midi Halter Dress,Third Party Brands,Dresses,6,11,24180
P21DX83,Racer Front & Back Mini Dress,Third Party Brands,Dresses,10,30,23640
V0823168,Vivo Golf Long Sleeved Zip Up Jacket,Vivo,Outerwear,7,11,23580
V0723067,Vivo Jira Cocoon Waterfall,Vivo,Outerwear,4,10,23445
Z0624020,Zoya Shani Sarong Wrap,Zoya,Skirts,1,7,22750
V0524181,Vivo Kitenge Infinity Jumpsuit,Vivo,Bottoms,4,8,22675
Z0822092,Zoya Nia Crop Bomber Jacket,Zoya,Outerwear,3,8,22610
V0224109,Vivo X This Is Essential Short Unitard,Vivo,Bottoms,1,7,22263
VE0002B,Vivo Essentials Biker Shorts,Vivo,Bottoms,8,13,22225
Z1223009,Zoya Sitawi Square Neck Bodysuit,Zoya,Tops,13,29,21569
V0822077,Vivo Tana Puff Sleeve Bodysuit,Vivo,Tops,2,8,21474
V1120036,Vivo Everyday Cap Sleeve Top in Jersey,Vivo,,4,12,21299
V0923086,Vivo Soleil Shorts,Vivo,Bottoms,6,15,21289
Z0924064,Zoya Aridi Unisex Shacket (Corduroy),Zoya,Outerwear,4,15,21201
Z0123051,Zoya Party Strappy One Shoulder Midi Dress,Zoya,Dresses,5,20,20800
V1222169,Vivo Fitness Leggings,Vivo,Bottoms,12,75,20798
S0123089,Safari Mali 3/4 Sleeve Tie Shirt,Safari,Tops,1,10,20130
V1024003,Vivo Merika Midi Wrap Dress,Vivo,Dresses,3,4,19970
VE0061W,Vivo Nimali Satin Short Kimono,Vivo,Outerwear,2,5,19952
Z0125028,Zoya Sadira Mens' Chino Shorts,Zoya,Bottoms,4,23,19945
Z0924071,Zoya Aridi Mens Straight Leg Pants,Zoya,Bottoms,4,14,19790
V1223022,Vivo Ajani V-Neck Shift Dress,Vivo,Dresses,2,6,19638
VE0006T,Vivo Essentials Full Length Leggings,Vivo,Bottoms,4,10,19500
VE0031A,Vivo Long Sleeve Blazer,Vivo,Outerwear,3,5,19500
S0923114,Safari Kikoy Joggers,Safari,Bottoms,3,9,19310
Z0424106,Zoya Men's Round Neck T-shirt,Zoya,Tops,6,20,19110
VE0049P,Vivo Kitenge Midi Kimono,Vivo,Outerwear,4,5,18866
VE00NAT,Vivo Joggers,Vivo,Bottoms,3,5,18720
S0525067,Safari Tara Crop Shacket,Safari,Outerwear,1,5,18450
Z0824059,Zoya Temo Asymmetric Front Cut Crop Top,Zoya,Tops,14,40,18031
Z1024061,Zoya X Metamorphisized 143 Pleated Mini Skirt,Zoya,Skirts,6,14,17930
Z0324071,Zoya Yuni Contrast Stitch Mini Skirt,Zoya,Skirts,5,25,17880
V0725048,Vivo Tanda Batwing Top,Vivo,Tops,3,5,17500
Z1219015,Zoya Basic Val Tank Top,Zoya,Tops,6,14,17380
VE0001O,Vivo Essentials Tank Top,Vivo,Tops,4,11,17050
Z1123052,Zoya Party Cowl Bare Back Mini Dress,Zoya,Dresses,4,7,17050
Z1021120,Zoya Chill Spaghetti Strap Tank Top,Zoya,Tops,22,94,17044
VE0054S,Vivo Nimali Satin Halter Top,Vivo,Tops,5,12,16870
VE0072S,Vivo Essentials Jersey Top,Vivo,Tops,2,10,16725
Z0424109,Zoya Men's Cargo Pants,Zoya,Bottoms,4,5,16250
VE0044P,Vivo Kitenge Strappy Tiered Maxi Dress,Vivo,Dresses,2,4,16039
VE0054P,Vivo Nimali Satin Halter Top,Vivo,Tops,5,10,15790
Z1124151,Zoya Basic Crop Top,Zoya,Tops,6,23,15732
Z0822086,Zoya Nia Oversized Denim Shirt,Zoya,Outerwear,6,10,15525
Z0125024,Zoya Sadira Men's Long Sleeve T Shirt,Zoya,Tops,3,8,15250
VE0028S,Vivo Trench Coat,Vivo,Outerwear,4,4,15180
VE0008O,Vivo Essentials Bodycon,Vivo,Dresses,2,4,15010
V0825002,Vivo Tanda Handkerchief Drape Top,Vivo,Tops,3,4,14820
S0425044,Shiv & Shikie X Safari Boxy T Shirt,Third Party Brands,Tops,1,4,14650
S0524199,Safari Kitenge T-Shirt,Safari,Tops,7,15,14600
V0424125,Vivo Chesi Kimono,Vivo,Outerwear,1,3,14599
V1223064,Vivo Asha High Low Top,Vivo,Tops,3,7,14490
V0324072,Vivo Azawi Peplum Top,Vivo,Tops,2,10,14333
V1023099,Vivo Amara V-Neck Maxi Dress,Vivo,Dresses,2,7,14180
VE0001Y,Vivo Essentials Tank Top,Vivo,Tops,4,14,14100
V0723065,Vivo Jira Lounge Pants,Vivo,Bottoms,7,7,14010
S0923076,Safari Kikoy Long Sleeved Shirt Dress- Dark Maroon,Safari,Dresses,2,5,13928
V0824022,Vivo Maisha High Slit Kimono,Vivo,Outerwear,2,5,13900
Z0123053,Zoya Party Sleeveless Side Cut Midi Dress,Zoya,Dresses,4,12,13650
V0725047,Vivo Tanda Maxi Skirt in Stretch Rib,Vivo,Skirts,1,3,13500
V0523205,Vivo X Pinky Long Sleeve Fitness Top,Vivo,Tops,7,43,13350
VE0055G,Vivo Nimali Satin Joggers,Vivo,Bottoms,4,5,13250
S0124008,Safari Haya 0ne Shoulder Asymmetrical Side Tie Top,Safari,Tops,5,8,12963
S0923106,Safari Kikoy Wide Elastic Shorts,Safari,Bottoms,2,9,12960
